Count,Name,Foil,Card Number,Edition
1,Daxos the Returned,foil,43,Oversized: Commander 2015
1,Bastion Protector,,1,Commander 2015
1,Grasp of Fate,,3,Commander 2015
1,Herald of the Host,,4,Commander 2015
1,Oreskos Explorer,,6,Commander 2015
1,Righteous Confluence,,7,Commander 2015
1,Shielded by Faith,,8,Commander 2015
1,Banshee of the Dread Choir,,16,Commander 2015
1,Corpse Augur,,17,Commander 2015
1,Daxos's Torment,,18,Commander 2015
1,Deadly Tempest,,19,Commander 2015
1,Thief of Blood,,22,Commander 2015
1,Daxos the Returned,,43,Commander 2015
1,Karlov of the Ghost Council,,46,Commander 2015
1,Sandstone Oracle,,52,Commander 2015
1,Thought Vessel,,55,Commander 2015
1,Ajani's Chosen,,57,Commander 2015
1,Aura of Silence,,60,Commander 2015
1,Banishing Light,,61,Commander 2015
1,Cage of Hands,,62,Commander 2015
1,Celestial Ancient,,63,Commander 2015
1,Celestial Archon,,64,Commander 2015
1,Dawn to Dusk,,66,Commander 2015
1,Dawnglare Invoker,,67,Commander 2015
1,Dictate of Heliod,,68,Commander 2015
1,Ghostblade Eidolon,,70,Commander 2015
1,Karmic Justice,,72,Commander 2015
1,Kor Sanctifiers,,73,Commander 2015
1,Marshal's Anthem,,74,Commander 2015
1,Mesa Enchantress,,75,Commander 2015
1,Monk Idealist,,76,Commander 2015
1,Open the Vaults,,77,Commander 2015
1,Seal of Cleansing,,79,Commander 2015
1,Sigil of the Empty Throne,,80,Commander 2015
1,Silent Sentinel,,81,Commander 2015
1,Vow of Duty,,84,Commander 2015
1,Ancient Craving,,114,Commander 2015
1,Black Market,,116,Commander 2015
1,Doomwake Giant,,121,Commander 2015
1,Dreadbringer Lampads,,122,Commander 2015
1,Fallen Ideal,,125,Commander 2015
1,Fate Unraveler,,126,Commander 2015
1,Gild,,127,Commander 2015
1,Grave Peril,,128,Commander 2015
1,Nighthowler,,129,Commander 2015
1,Phyrexian Arena,,130,Commander 2015
1,Phyrexian Reclamation,,133,Commander 2015
1,Seal of Doom,,135,Commander 2015
1,Underworld Connections,,138,Commander 2015
1,Vow of Malice,,140,Commander 2015
1,Death Grasp,,215,Commander 2015
1,Necromancer's Covenant,,229,Commander 2015
1,"Teysa, Envoy of Ghosts",,234,Commander 2015
1,Treasury Thrull,,235,Commander 2015
1,Underworld Coinsmith,,237,Commander 2015
1,Burnished Hart,,248,Commander 2015
1,Crystal Chimes,,250,Commander 2015
1,Lightning Greaves,,257,Commander 2015
1,Orzhov Cluestone,,261,Commander 2015
1,Orzhov Signet,,262,Commander 2015
1,Sol Ring,,268,Commander 2015
1,Wayfarer's Bauble,,274,Commander 2015
1,Barren Moor,,277,Commander 2015
1,Command Tower,,281,Commander 2015
1,Evolving Wilds,,283,Commander 2015
1,Ghost Quarter,,285,Commander 2015
1,New Benalia,,295,Commander 2015
1,Orzhov Basilica,,298,Commander 2015
1,Orzhov Guildgate,,299,Commander 2015
1,Rogue's Passage,,302,Commander 2015
1,Scoured Barrens,,303,Commander 2015
1,Secluded Steppe,,304,Commander 2015
1,Tainted Field,,311,Commander 2015
1,Temple of the False God,,313,Commander 2015
1,Terramorphic Expanse,,314,Commander 2015
1,Vivid Marsh,,319,Commander 2015
1,Vivid Meadow,,320,Commander 2015
3,Plains,,323,Commander 2015
3,Plains,,324,Commander 2015
3,Plains,,325,Commander 2015
2,Plains,,326,Commander 2015
4,Swamp,,331,Commander 2015
3,Swamp,,332,Commander 2015
3,Swamp,,333,Commander 2015
3,Swamp,,334,Commander 2015
1,Experience,,25,Extras: Commander 2015
1,Angel // Knight,,26,Extras: Commander 2015
1,Angel // Spirit,,27,Extras: Commander 2015
2,Cat // Zombie,,28,Extras: Commander 2015
1,Cat // Spirit,,29,Extras: Commander 2015
1,Knight // Spirit,,30,Extras: Commander 2015
2,Spirit // Zombie,,46,Extras: Commander 2015
1,Gold // Knight,,47,Extras: Commander 2015
