Count,Name,Foil,Card Number,Edition
1,"Atraxa, Praetors' Voice",foil,28,Oversized: Commander 2016
1,Duelist's Heritage,,1,Commander 2016
1,Orzhov Advokist,,3,Commander 2016
1,Sublime Exhalation,,5,Commander 2016
1,Deepglow Skate,,7,Commander 2016
1,Grip of Phyresis,,9,Commander 2016
1,Manifold Insights,,10,Commander 2016
1,Ancient Excavation,,27,Commander 2016
1,"Atraxa, Praetors' Voice",foil,28,Commander 2016
1,"Ikra Shidiqi, the Usurper",foil,32,Commander 2016
1,"Ishai, Ojutai Dragonspeaker",foil,33,Commander 2016
1,Migratory Route,,38,Commander 2016
1,"Reyhan, Last of the Abzan",foil,40,Commander 2016
1,Sylvan Reclamation,,44,Commander 2016
1,Crystalline Crawler,,54,Commander 2016
1,Ash Barrens,,56,Commander 2016
1,Abzan Falconer,,57,Commander 2016
1,Brave the Sands,,60,Commander 2016
1,Cathars' Crusade,,61,Commander 2016
1,Citadel Siege,,62,Commander 2016
1,Custodi Soulbinders,,63,Commander 2016
1,Elite Scaleguard,,65,Commander 2016
1,Reveillark,,74,Commander 2016
1,Disdainful Stroke,,88,Commander 2016
1,Tezzeret's Gambit,,99,Commander 2016
1,Thrummingbird,,100,Commander 2016
1,Treasure Cruise,,101,Commander 2016
1,Bane of the Living,,106,Commander 2016
1,Festercreep,,110,Commander 2016
1,Languish,,114,Commander 2016
1,Necroplasm,,115,Commander 2016
1,Champion of Lambholt,,144,Commander 2016
1,Forgotten Ancient,,150,Commander 2016
1,Hardened Scales,,152,Commander 2016
1,Inspiring Call,,153,Commander 2016
1,Kalonian Hydra,,154,Commander 2016
1,Scavenging Ooze,,166,Commander 2016
1,Solidarity of Heroes,,168,Commander 2016
1,Tuskguard Captain,,173,Commander 2016
1,Bred for the Hunt,,186,Commander 2016
1,Corpsejack Menace,,190,Commander 2016
1,Duneblast,,194,Commander 2016
1,Enduring Scalelord,,196,Commander 2016
1,Fathom Mage,,198,Commander 2016
1,"Ghave, Guru of Spores",,200,Commander 2016
1,Juniper Order Ranger,,207,Commander 2016
1,Master Biomancer,,210,Commander 2016
1,Merciless Eviction,,211,Commander 2016
1,Mortify,,212,Commander 2016
1,Putrefy,,217,Commander 2016
1,Vorel of the Hull Clade,,227,Commander 2016
1,Vulturous Zombie,,228,Commander 2016
1,Mirrorweave,,234,Commander 2016
1,Spitting Image,,236,Commander 2016
1,Astral Cornucopia,,243,Commander 2016
1,Cauldron of Souls,,246,Commander 2016
1,Commander's Sphere,,248,Commander 2016
1,Darksteel Ingot,,250,Commander 2016
1,Fellwar Stone,,254,Commander 2016
1,Golgari Signet,,255,Commander 2016
1,Orzhov Signet,,266,Commander 2016
1,Simic Signet,,270,Commander 2016
1,Sol Ring,,272,Commander 2016
1,Arcane Sanctum,,281,Commander 2016
1,Azorius Chancery,,282,Commander 2016
1,Command Tower,,286,Commander 2016
1,Darkwater Catacombs,,289,Commander 2016
1,Dreadship Reef,,293,Commander 2016
1,Evolving Wilds,,294,Commander 2016
1,Exotic Orchard,,295,Commander 2016
1,Golgari Rot Farm,,298,Commander 2016
1,Murmuring Bosk,,308,Commander 2016
1,Opal Palace,,312,Commander 2016
1,Opulent Palace,,313,Commander 2016
1,Sandsteppe Citadel,,320,Commander 2016
1,Seaside Citadel,,322,Commander 2016
1,Sungrass Prairie,,328,Commander 2016
1,Temple of the False God,,331,Commander 2016
1,Terramorphic Expanse,,332,Commander 2016
1,Underground River,,335,Commander 2016
2,Plains,,337,Commander 2016
1,Plains,,338,Commander 2016
2,Plains,,339,Commander 2016
1,Island,,340,Commander 2016
2,Island,,341,Commander 2016
1,Island,,342,Commander 2016
2,Swamp,,343,Commander 2016
1,Swamp,,344,Commander 2016
2,Swamp,,345,Commander 2016
3,Forest,,349,Commander 2016
2,Forest,,350,Commander 2016
2,Forest,,351,Commander 2016
1,Bird // Spirit,,23,Extras: Commander 2016
3,Bird // Saproling,,24,Extras: Commander 2016
1,Spirit // Germ,,29,Extras: Commander 2016
5,Spirit // Saproling,,30,Extras: Commander 2016
