Count,Name,Foil,Card Number,Edition
1,"Sevinne, the Chronoclasm",foil,49,Oversized: Commander 2019
1,Cliffside Rescuer,,1,Commander 2019
1,Mandate of Peace,,4,Commander 2019
1,Sevinne's Reclamation,,5,Commander 2019
1,Thalia's Geistcaller,,7,Commander 2019
1,Leadership Vacuum,,9,Commander 2019
1,Mass Diminish,,10,Commander 2019
1,Wall of Stolen Identity,,13,Commander 2019
1,Backdraft Hellkite,,23,Commander 2019
1,Dockside Extortionist,,24,Commander 2019
1,Ignite the Future,,27,Commander 2019
1,Elsha of the Infinite,foil,40,Commander 2019
1,"Gerrard, Weatherlight Hero",,41,Commander 2019
1,"Pramikon, Sky Rampart",foil,47,Commander 2019
1,"Sevinne, the Chronoclasm",foil,49,Commander 2019
1,Bloodthirsty Blade,,53,Commander 2019
1,Empowered Autogenerator,,54,Commander 2019
1,Scaretiller,,57,Commander 2019
1,Divine Reckoning,,62,Commander 2019
1,Dusk // Dawn,,63,Commander 2019
1,Ghostly Prison,,64,Commander 2019
1,Increasing Devotion,,66,Commander 2019
1,Prismatic Strands,,69,Commander 2019
1,Pristine Angel,,70,Commander 2019
1,Purify the Grave,,71,Commander 2019
1,Ray of Distortion,,72,Commander 2019
1,Storm Herd,,75,Commander 2019
1,Sun Titan,,76,Commander 2019
1,"Zetalpa, Primal Dawn",,79,Commander 2019
1,Chemister's Insight,,80,Commander 2019
1,Clever Impersonator,,82,Commander 2019
1,Deep Analysis,,83,Commander 2019
1,Fact or Fiction,,85,Commander 2019
1,Fervent Denial,,86,Commander 2019
1,Jace's Sanctum,,88,Commander 2019
1,Mystic Retrieval,,90,Commander 2019
1,Oona's Grace,,91,Commander 2019
1,River Kelpie,,93,Commander 2019
1,Runic Repetition,,94,Commander 2019
1,Secrets of the Dead,,95,Commander 2019
1,"Talrand, Sky Summoner",,97,Commander 2019
1,Think Twice,,99,Commander 2019
1,Burning Vengeance,,135,Commander 2019
1,Desperate Ravings,,137,Commander 2019
1,Devil's Play,,138,Commander 2019
1,Faithless Looting,,140,Commander 2019
1,Guttersnipe,,145,Commander 2019
1,Increasing Vengeance,,147,Commander 2019
1,Magmaquake,,148,Commander 2019
1,Rolling Temblor,,151,Commander 2019
1,Crackling Drake,,190,Commander 2019
1,Farm // Market,,192,Commander 2019
1,Pristine Skywise,,196,Commander 2019
1,Ral Zarek,,198,Commander 2019
1,Refuse // Cooperate,,199,Commander 2019
1,Armillary Sphere,,209,Commander 2019
1,Azorius Locket,,210,Commander 2019
1,Burnished Hart,,211,Commander 2019
1,Commander's Sphere,,212,Commander 2019
1,Izzet Locket,,215,Commander 2019
1,Sol Ring,,221,Commander 2019
1,Ash Barrens,,227,Commander 2019
1,Azorius Chancery,,228,Commander 2019
1,Boros Garrison,,233,Commander 2019
1,Boros Guildgate,,234,Commander 2019
1,Command Tower,,237,Commander 2019
1,Evolving Wilds,,241,Commander 2019
1,Exotic Orchard,,242,Commander 2019
1,Highland Lake,,251,Commander 2019
1,Izzet Boilerworks,,252,Commander 2019
1,Izzet Guildgate,,253,Commander 2019
1,Myriad Landscape,,261,Commander 2019
1,Mystic Monastery,,262,Commander 2019
1,Prairie Stream,,265,Commander 2019
1,Stone Quarry,,276,Commander 2019
1,Swiftwater Cliffs,,279,Commander 2019
1,Temple of the False God,,280,Commander 2019
1,Terramorphic Expanse,,281,Commander 2019
1,Tranquil Cove,,284,Commander 2019
1,Wind-Scarred Crag,,285,Commander 2019
5,Plains,,288,Commander 2019
4,Plains,,289,Commander 2019
4,Island,,291,Commander 2019
4,Island,,293,Commander 2019
4,Mountain,,297,Commander 2019
2,Pegasus // Human,,32,Extras: Commander 2019
2,Spirit // Human,,33,Extras: Commander 2019
3,Drake // Human,,36,Extras: Commander 2019
3,Treasure // Human,,48,Extras: Commander 2019
