Count,Name,Foil,Card Number,Edition,Language
1,"Zaffai, Thunder Conductor",foil,4,Commander 2021,English
1,"Veyran, Voice of Duality",foil,3,Commander 2021,English
1,Dazzling Sphinx,,25,Commander 2021,English
1,Inspiring Refrain,,27,Commander 2021,English
1,Muse Vortex,,28,Commander 2021,English
1,"Octavia, Living Thesis",,29,Commander 2021,English
1,Sly Instigator,,32,Commander 2021,English
1,Creative Technique,,49,Commander 2021,English
1,Fiery Encore,,51,Commander 2021,English
1,Inferno Project,,52,Commander 2021,English
1,Radiant Performer,,54,Commander 2021,English
1,"Rionya, Fire Dancer",,55,Commander 2021,English
1,Rousing Refrain,,56,Commander 2021,English
1,Surge to Victory,,58,Commander 2021,English
1,Reinterpret,,73,Commander 2021,English
1,Elementalist's Palette,,76,Commander 2021,English
1,Study Hall,,80,Commander 2021,English
1,Aether Gale,,113,Commander 2021,English
1,Aetherspouts,,114,Commander 2021,English
1,Brainstorm,,115,Commander 2021,English
1,Dig Through Time,,119,Commander 2021,English
1,Diluvian Primordial,,120,Commander 2021,English
1,Living Lore,,121,Commander 2021,English
1,Metallurgic Summonings,,122,Commander 2021,English
1,Mind's Desire,,123,Commander 2021,English
1,"Naru Meha, Master Wizard",,124,Commander 2021,English
1,Ponder,,125,Commander 2021,English
1,Serum Visions,,129,Commander 2021,English
1,Swarm Intelligence,,130,Commander 2021,English
1,"Talrand, Sky Summoner",,131,Commander 2021,English
1,Traumatic Visions,,132,Commander 2021,English
1,Treasure Cruise,,133,Commander 2021,English
1,Apex of Power,,158,Commander 2021,English
1,Blasphemous Act,,159,Commander 2021,English
1,Brass's Bounty,,160,Commander 2021,English
1,Charmbreaker Devils,,162,Commander 2021,English
1,Dualcaster Mage,,165,Commander 2021,English
1,Erratic Cyclops,,166,Commander 2021,English
1,"Etali, Primal Storm",,167,Commander 2021,English
1,Faithless Looting,,168,Commander 2021,English
1,Fiery Fall,,170,Commander 2021,English
1,Humble Defector,,174,Commander 2021,English
1,Jaya Ballard,,175,Commander 2021,English
1,Mana Geyser,,176,Commander 2021,English
1,Seething Song,,179,Commander 2021,English
1,Sunbird's Invocation,,180,Commander 2021,English
1,Volcanic Vision,,182,Commander 2021,English
1,Wildfire Devils,,183,Commander 2021,English
1,Call the Skybreaker,,211,Commander 2021,English
1,Crackling Drake,,213,Commander 2021,English
1,Epic Experiment,,216,Commander 2021,English
1,Arcane Signet,,234,Commander 2021,English
1,Hedron Archive,,244,Commander 2021,English
1,Izzet Signet,,247,Commander 2021,English
1,Mind Stone,,251,Commander 2021,English
1,Pyromancer's Goggles,,259,Commander 2021,English
1,Sol Ring,,263,Commander 2021,English
1,Talisman of Creativity,,269,Commander 2021,English
1,Blighted Cataract,,279,Commander 2021,English
1,Command Tower,,284,Commander 2021,English
1,Desert of the Fervent,,286,Commander 2021,English
1,Desert of the Mindful,,287,Commander 2021,English
1,Exotic Orchard,,288,Commander 2021,English
1,Forgotten Cave,,289,Commander 2021,English
1,Izzet Boilerworks,,294,Commander 2021,English
1,Lonely Sandbar,,298,Commander 2021,English
1,Mage-Ring Network,,300,Commander 2021,English
1,Memorial to Genius,,301,Commander 2021,English
1,Myriad Landscape,,304,Commander 2021,English
1,Reliquary Tower,,311,Commander 2021,English
1,Scavenger Grounds,,314,Commander 2021,English
1,Shivan Reef,,316,Commander 2021,English
1,Temple of Epiphany,,322,Commander 2021,English
1,Temple of the False God,,326,Commander 2021,English
1,Resculpt,,51,Strixhaven: School of Mages,English
1,Storm-Kiln Artist,,115,Strixhaven: School of Mages,English
1,Elemental Masterpiece,,182,Strixhaven: School of Mages,English
1,Expressive Iteration,,186,Strixhaven: School of Mages,English
1,"Rootha, Mercurial Artist",,227,Strixhaven: School of Mages,English
1,Letter of Acceptance,,256,Strixhaven: School of Mages,English
1,Prismari Campus,,270,Strixhaven: School of Mages,English
5,Island,,368,Strixhaven: School of Mages,English
5,Island,,369,Strixhaven: School of Mages,English
5,Mountain,,372,Strixhaven: School of Mages,English
4,Mountain,,373,Strixhaven: School of Mages,English
4,Drake // Elemental,,4,Extras: Commander 2021,English
4,Treasure // Construct,,5,Extras: Commander 2021,English
2,Elemental // Copy,,6,Extras: Commander 2021,English
