Count,Name,Foil,Card Number,Edition
1,"Breena, the Demagogue",foil,1,Commander 2021 Display Commanders
1,"Breena, the Demagogue",foil,1,Commander 2021
1,"Felisa, Fang of Silverquill",foil,2,Commander 2021
1,Combat Calligrapher,,14,Commander 2021
1,Guardian Archon,,17,Commander 2021
1,"Nils, Discipline Enforcer",,20,Commander 2021
1,Promise of Loyalty,,21,Commander 2021
1,Scholarship Sponsor,,22,Commander 2021
1,Author of Shadows,,35,Commander 2021
1,Bold Plagiarist,,37,Commander 2021
1,Cunning Rhetoric,,38,Commander 2021
1,"Fain, the Broker",,40,Commander 2021
1,Incarnation Technique,,41,Commander 2021
1,Keen Duelist,,42,Commander 2021
1,Stinging Study,,44,Commander 2021
1,Inkshield,,71,Commander 2021
1,Tempting Contract,,78,Commander 2021
1,Study Hall,,80,Commander 2021
1,Angel of Serenity,,83,Commander 2021
1,Boreas Charger,,84,Commander 2021
1,Citadel Siege,,85,Commander 2021
1,Duelist's Heritage,,90,Commander 2021
1,Elite Scaleguard,,91,Commander 2021
1,Ghostly Prison,,92,Commander 2021
1,"Gideon, Champion of Justice",,93,Commander 2021
1,Hunted Lammasu,,94,Commander 2021
1,Knight of the White Orchid,,95,Commander 2021
1,Martial Impetus,,96,Commander 2021
1,Oblation,,97,Commander 2021
1,Oreskos Explorer,,98,Commander 2021
1,Orzhov Advokist,,99,Commander 2021
1,Selfless Squire,,103,Commander 2021
1,Soul Snare,,104,Commander 2021
1,Stalking Leonin,,105,Commander 2021
1,Sunscorch Regent,,107,Commander 2021
1,Together Forever,,108,Commander 2021
1,Tragic Arrogance,,109,Commander 2021
1,Vow of Duty,,110,Commander 2021
1,Windborn Muse,,111,Commander 2021
1,"Zetalpa, Primal Dawn",,112,Commander 2021
1,Ambition's Cost,,134,Commander 2021
1,Curse of Disturbance,,138,Commander 2021
1,Deathbringer Regent,,141,Commander 2021
1,Infernal Offering,,146,Commander 2021
1,Necropolis Regent,,147,Commander 2021
1,Parasitic Impetus,,150,Commander 2021
1,Deathbringer Liege,,214,Commander 2021
1,Debtors' Knell,,215,Commander 2021
1,Magister of Worth,,223,Commander 2021
1,"Teysa, Envoy of Ghosts",,230,Commander 2021
1,Utter End,,232,Commander 2021
1,Arcane Signet,,234,Commander 2021
1,Bloodthirsty Blade,,235,Commander 2021
1,Coveted Jewel,,240,Commander 2021
1,Mind Stone,,251,Commander 2021
1,Orzhov Signet,,254,Commander 2021
1,Pendant of Prosperity,,256,Commander 2021
1,Sol Ring,,263,Commander 2021
1,Spectral Searchlight,,265,Commander 2021
1,Victory Chimes,,274,Commander 2021
1,Barren Moor,,277,Commander 2021
1,Bojuka Bog,,281,Commander 2021
1,Caves of Koilos,,283,Commander 2021
1,Command Tower,,284,Commander 2021
1,Exotic Orchard,,288,Commander 2021
1,"Mikokoro, Center of the Sea",,302,Commander 2021
1,Myriad Landscape,,304,Commander 2021
1,Opal Palace,,306,Commander 2021
1,Orzhov Basilica,,308,Commander 2021
1,Rogue's Passage,,312,Commander 2021
1,Secluded Steppe,,315,Commander 2021
1,Tainted Field,,320,Commander 2021
1,Temple of Silence,,325,Commander 2021
1,Temple of the False God,,326,Commander 2021
1,Secret Rendezvous,,26,Strixhaven: School of Mages
1,Fracture,,188,Strixhaven: School of Mages
1,Silverquill Campus,,273,Strixhaven: School of Mages
7,Plains,,366,Strixhaven: School of Mages
7,Plains,,367,Strixhaven: School of Mages
5,Swamp,,370,Strixhaven: School of Mages
5,Swamp,,371,Strixhaven: School of Mages
6,Inkling // Treasure,,1,Extras: Commander 2021
3,Spirit // Zombie,,2,Extras: Commander 2021
1,Horror // Zombie,,3,Extras: Commander 2021
