Count,Name,Foil,Card Number,Edition
1,Kaalia of the Vast,foil,5,Oversized: Commander
1,"Oros, the Avenger",foil,8,Oversized: Commander
1,"Tariel, Reckoner of Souls",foil,11,Oversized: Commander
1,Akroma's Vengeance,,3,Commander
1,Angelic Arbiter,,5,Commander
1,Archangel of Strife,,7,Commander
1,Bathe in Light,,9,Commander
1,Congregate,,11,Commander
1,Lightkeeper of Emeria,,18,Commander
1,Mother of Runes,,21,Commander
1,Orim's Thunder,,24,Commander
1,Path to Exile,,25,Commander
1,Return to Dust,,28,Commander
1,Righteous Cause,,29,Commander
1,Serra Angel,,30,Commander
1,Shattered Angel,,31,Commander
1,Soul Snare,,32,Commander
1,Voice of All,,35,Commander
1,Vow of Duty,,36,Commander
1,Diabolic Tutor,,77,Commander
1,Dread Cacodemon,,79,Commander
1,Evincar's Justice,,80,Commander
1,Fallen Angel,,82,Commander
1,Razorjaw Oni,,94,Commander
1,Reiver Demon,,95,Commander
1,Syphon Flesh,,103,Commander
1,Syphon Mind,,104,Commander
1,Vow of Malice,,107,Commander
1,"Akroma, Angel of Fury",,108,Commander
1,Anger,,109,Commander
1,Avatar of Slaughter,,111,Commander
1,Cleansing Beam,,116,Commander
1,Comet Storm,,117,Commander
1,Death by Dragons,,118,Commander
1,Dragon Whelp,,120,Commander
1,Earthquake,,121,Commander
1,Furnace Whelp,,124,Commander
1,Mana-Charged Dragon,,129,Commander
1,Oni of Wild Places,,130,Commander
1,Pyrohemia,,132,Commander
1,Stranglehold,,136,Commander
1,Sulfurous Blast,,137,Commander
1,Vow of Lightning,,138,Commander
1,Angel of Despair,,180,Commander
1,"Basandra, Battle Seraph",,184,Commander
1,Bladewing the Risen,,185,Commander
1,Boros Guildmage,,186,Commander
1,Duergar Hedge-Mage,,195,Commander
1,Gwyllion Hedge-Mage,,202,Commander
1,Kaalia of the Vast,,206,Commander
1,Malfegor,,208,Commander
1,Master Warcraft,,209,Commander
1,Mortify,,211,Commander
1,"Oros, the Avenger",,216,Commander
1,Orzhov Guildmage,,217,Commander
1,"Tariel, Reckoner of Souls",,229,Commander
1,Terminate,,231,Commander
1,Wrecking Ball,,238,Commander
1,Armillary Sphere,,242,Commander
1,Boros Signet,,243,Commander
1,Darksteel Ingot,,245,Commander
1,Lightning Greaves,,253,Commander
1,Orzhov Signet,,255,Commander
1,Rakdos Signet,,257,Commander
1,Sol Ring,,261,Commander
1,Akoum Refuge,,264,Commander
1,Barren Moor,,266,Commander
1,Bojuka Bog,,267,Commander
1,Boros Garrison,,268,Commander
1,Command Tower,,269,Commander
1,Evolving Wilds,,272,Commander
1,Forgotten Cave,,273,Commander
1,Molten Slagheap,,282,Commander
1,Orzhov Basilica,,283,Commander
1,Rakdos Carnarium,,284,Commander
1,Rupture Spire,,285,Commander
1,Secluded Steppe,,286,Commander
1,Vivid Meadow,,297,Commander
1,Zoetic Cavern,,298,Commander
2,Plains,,299,Commander
2,Plains,,300,Commander
2,Plains,,301,Commander
2,Plains,,302,Commander
2,Swamp,,307,Commander
2,Swamp,,308,Commander
2,Swamp,,309,Commander
2,Swamp,,310,Commander
2,Mountain,,311,Commander
2,Mountain,,312,Commander
2,Mountain,,313,Commander
2,Mountain,,314,Commander
