Count,Name,Foil,Card Number,Edition
1,Nevinyrral's Disk,,1,Anthologies
1,Goblin King,,2,Anthologies
1,Goblin Warrens,,3,Anthologies
1,Volcanic Dragon,,4,Anthologies
1,Strip Mine,,5,Anthologies
1,Lady Orca,,6,Anthologies
1,Black Knight,,7,Anthologies
1,Hypnotic Specter,,8,Anthologies
1,Knight of Stromgald,,9,Anthologies
1,Ihsan's Shade,,10,Anthologies
1,Goblin Balloon Brigade,,11,Anthologies
1,Goblin Mutant,,12,Anthologies
1,Goblin Offensive,,13,Anthologies
1,Goblin Recruiter,,14,Anthologies
1,Goblin Snowman,,15,Anthologies
1,Pyrokinesis,,16,Anthologies
1,Uthden Troll,,17,Anthologies
1,Aesthir Glider,,19,Anthologies
1,Polluted Mire,,20,Anthologies
1,Smoldering Crater,,21,Anthologies
1,Cuombajj Witches,,22,Anthologies
1,Feast of the Unicorn,,23,Anthologies
1,Hymn to Tourach,,24,Anthologies
1,Terror,,25,Anthologies
1,Unholy Strength,,26,Anthologies
1,Fireball,,27,Anthologies
1,Goblin Digging Team,,28,Anthologies
1,Goblin Grenade,,29,Anthologies
1,Goblin Hero,,30,Anthologies
1,Goblin Matron,,31,Anthologies
1,Goblin Tinkerer,,32,Anthologies
1,Goblin Vandal,,33,Anthologies
1,Lightning Bolt,,34,Anthologies
1,Mogg Fanatic,,35,Anthologies
1,Mogg Flunkies,,36,Anthologies
1,Mogg Raider,,37,Anthologies
1,Pyrotechnics,,38,Anthologies
1,Raging Goblin,,39,Anthologies
6,Mountain,,40,Anthologies
6,Mountain,,41,Anthologies
5,Swamp,,42,Anthologies
5,Swamp,,43,Anthologies
5,Goblin,,92,Unglued
