Count,Name,Foil,Card Number,Edition
1,Brushland,,44,Anthologies
1,"Mirri, Cat Warrior",,45,Anthologies
1,Armageddon,,46,Anthologies
1,Sacred Mesa,,47,Anthologies
1,Pendelhaven,,48,Anthologies
1,Jalum Tome,,49,Anthologies
1,Ranger en-Vec,,50,Anthologies
1,Erhnam Djinn,,51,Anthologies
1,Hurricane,,52,Anthologies
1,Spectral Bears,,53,Anthologies
1,Overrun,,54,Anthologies
1,Order of the White Shield,,55,Anthologies
1,Pegasus Charger,,56,Anthologies
1,Serra Angel,,57,Anthologies
1,Swords to Plowshares,,58,Anthologies
1,White Knight,,59,Anthologies
1,Pegasus Stampede,,60,Anthologies
1,Drifting Meadow,,61,Anthologies
1,Slippery Karst,,62,Anthologies
1,Serrated Arrows,,63,Anthologies
1,Canopy Spider,,64,Anthologies
1,Carnivorous Plant,,65,Anthologies
1,Giant Growth,,66,Anthologies
1,Giant Spider,,67,Anthologies
1,Gorilla Chieftain,,68,Anthologies
1,Llanowar Elves,,69,Anthologies
1,Scavenger Folk,,70,Anthologies
1,Woolly Spider,,71,Anthologies
1,Armored Pegasus,,72,Anthologies
1,Benalish Knight,,73,Anthologies
1,Combat Medic,,74,Anthologies
1,Disenchant,,75,Anthologies
1,Freewind Falcon,,76,Anthologies
1,Icatian Javelineers,,77,Anthologies
1,Infantry Veteran,,78,Anthologies
1,Pacifism,,79,Anthologies
1,Samite Healer,,81,Anthologies
1,Warrior's Honor,,82,Anthologies
1,Youthful Knight,,83,Anthologies
5,Forest,,84,Anthologies
5,Forest,,85,Anthologies
6,Plains,,86,Anthologies
5,Plains,,87,Anthologies
5,Pegasus,,89,Unglued
