Count,Name,Foil,Card Number,Edition
1,Leonin Abunas,,1,Archenemy
1,Metallurgeon,,2,Archenemy
2,Sanctum Gargoyle,,5,Archenemy
1,March of the Machines,,6,Archenemy
1,Master Transmuter,,7,Archenemy
1,Spin into Myth,,8,Archenemy
2,Agony Warp,,76,Archenemy
1,Architects of Will,,77,Archenemy
1,Batwing Brume,,80,Archenemy
1,Ethersworn Shieldmage,,84,Archenemy
1,Fieldmist Borderpost,,85,Archenemy
1,Magister Sphinx,,89,Archenemy
1,Mistvein Borderpost,,90,Archenemy
1,Unbender Tine,,97,Archenemy
1,Unmake,,98,Archenemy
2,Aether Spellbomb,,102,Archenemy
1,Azorius Signet,,103,Archenemy
1,Dimir Signet,,104,Archenemy
1,Dreamstone Hedron,,105,Archenemy
1,Duplicant,,106,Archenemy
1,Everflowing Chalice,,107,Archenemy
1,Juggernaut,,109,Archenemy
1,Lightning Greaves,,110,Archenemy
1,Lodestone Golem,,111,Archenemy
1,Memnarch,,112,Archenemy
1,Obelisk of Esper,,113,Archenemy
1,Skullcage,,115,Archenemy
1,Sorcerer's Strongbox,,116,Archenemy
1,Sun Droplet,,117,Archenemy
1,Sundering Titan,,118,Archenemy
1,Synod Centurion,,119,Archenemy
1,Synod Sanctum,,120,Archenemy
1,Thunderstaff,,122,Archenemy
2,Terramorphic Expanse,,134,Archenemy
4,Plains,,137,Archenemy
3,Plains,,138,Archenemy
4,Island,,139,Archenemy
3,Island,,140,Archenemy
3,Island,,141,Archenemy
2,Swamp,,142,Archenemy
2,Swamp,,143,Archenemy
1,Swamp,,144,Archenemy

1,All in Good Time,,1,Archenemy
1,Behold the Power of Destruction,,4,Archenemy
1,Embrace My Diabolical Vision,,9,Archenemy
2,Feed the Machine,,14,Archenemy
1,I Delight in Your Convulsions,,17,Archenemy
2,"I Know All, I See All",,18,Archenemy
2,Ignite the Cloneforge!,,19,Archenemy
1,Introductions Are in Order,,21,Archenemy
2,The Iron Guardian Stirs,,22,Archenemy
1,My Genius Knows No Bounds,,28,Archenemy
1,Nothing Can Stop Me Now,,33,Archenemy
2,The Pieces Are Coming Together,,35,Archenemy
1,Realms Befitting My Majesty,,36,Archenemy
1,Your Fate Is Thrice Sealed,,43,Archenemy
1,Your Puny Minds Cannot Fathom,,44,Archenemy
