Count,Name,Foil,Card Number,Edition
1,Avatar of Woe,,9,Archenemy
1,Beacon of Unrest,,10,Archenemy
1,Bog Witch,,11,Archenemy
1,Cemetery Reaper,,12,Archenemy
1,Corpse Connoisseur,,13,Archenemy
1,Dregscape Zombie,,14,Archenemy
1,Extractor Demon,,15,Archenemy
1,Festering Goblin,,16,Archenemy
1,Incremental Blight,,17,Archenemy
2,Infectious Horror,,18,Archenemy
1,Infest,,19,Archenemy
1,Makeshift Mannequin,,20,Archenemy
1,Reanimate,,21,Archenemy
1,Reassembling Skeleton,,22,Archenemy
1,Scion of Darkness,,23,Archenemy
1,Shriekmaw,,24,Archenemy
2,Sign in Blood,,25,Archenemy
2,Twisted Abomination,,26,Archenemy
1,Urborg Syphon-Mage,,27,Archenemy
1,Zombie Infestation,,28,Archenemy
1,Zombify,,29,Archenemy
1,Inferno Trap,,43,Archenemy
1,Avatar of Discord,,79,Archenemy
1,Bituminous Blast,,81,Archenemy
1,Kaervek the Merciless,,88,Archenemy
1,Rakdos Guildmage,,92,Archenemy
2,Terminate,,95,Archenemy
1,Torrent of Souls,,96,Archenemy
1,Vampiric Dragon,,99,Archenemy
2,Rakdos Signet,,114,Archenemy
1,Artisan of Kozilek,,123,Archenemy
2,Barren Moor,,124,Archenemy
2,Rakdos Carnarium,,132,Archenemy
5,Swamp,,142,Archenemy
4,Swamp,,143,Archenemy
4,Swamp,,144,Archenemy
3,Mountain,,145,Archenemy
2,Mountain,,146,Archenemy
2,Mountain,,147,Archenemy

2,Choose Your Champion,,5,Archenemy
1,"Dance, Pathetic Marionette",,6,Archenemy
2,The Dead Shall Serve,,7,Archenemy
1,A Display of My Dark Power,,8,Archenemy
2,Every Hope Shall Vanish,,10,Archenemy
1,I Delight in Your Convulsions,,17,Archenemy
1,Introductions Are in Order,,21,Archenemy
1,Mortal Flesh Is Weak,,26,Archenemy
1,My Undead Horde Awakens,,29,Archenemy
2,Only Blood Ends Your Nightmares,,34,Archenemy
1,Realms Befitting My Majesty,,36,Archenemy
2,"Rotted Ones, Lay Siege",,38,Archenemy
1,Surrender Your Thoughts,,39,Archenemy
1,Your Fate Is Thrice Sealed,,43,Archenemy
1,Your Puny Minds Cannot Fathom,,44,Archenemy
