Count,Name,Foil,Card Number,Edition
2,Oblivion Ring,,3,Archenemy
1,Path to Exile,,4,Archenemy
1,Feral Hydra,,53,Archenemy
2,Fertilid,,54,Archenemy
1,Fog,,56,Archenemy
1,Forgotten Ancient,,57,Archenemy
1,Gleeful Sabotage,,58,Archenemy
1,Harmonize,,59,Archenemy
1,Hunting Moa,,60,Archenemy
1,"Kamahl, Fist of Krosa",,61,Archenemy
1,Krosan Tusker,,62,Archenemy
1,Leaf Gilder,,63,Archenemy
1,"Molimo, Maro-Sorcerer",,64,Archenemy
1,Plummet,,65,Archenemy
1,Primal Command,,66,Archenemy
1,Rancor,,67,Archenemy
2,Sakura-Tribe Elder,,68,Archenemy
1,Shinen of Life's Roar,,69,Archenemy
1,Spider Umbra,,70,Archenemy
1,Thelonite Hermit,,71,Archenemy
1,Verdeloth the Ancient,,72,Archenemy
2,Wall of Roots,,73,Archenemy
2,Wickerbough Elder,,74,Archenemy
2,Yavimaya Dryad,,75,Archenemy
1,Armadillo Cloak,,78,Archenemy
1,Heroes' Reunion,,87,Archenemy
1,Pale Recluse,,91,Archenemy
1,Selesnya Guildmage,,94,Archenemy
1,Watchwolf,,100,Archenemy
1,Wax // Wane,,101,Archenemy
1,Graypelt Refuge,,125,Archenemy
1,Khalni Garden,,127,Archenemy
1,Krosan Verge,,128,Archenemy
1,Llanowar Reborn,,129,Archenemy
1,Mosswort Bridge,,130,Archenemy
1,Nantuko Monastery,,131,Archenemy
1,Secluded Steppe,,133,Archenemy
1,Tranquil Thicket,,135,Archenemy
1,"Vitu-Ghazi, the City-Tree",,136,Archenemy
3,Plains,,137,Archenemy
2,Plains,,138,Archenemy
4,Forest,,148,Archenemy
3,Forest,,149,Archenemy
3,Forest,,150,Archenemy

2,Every Last Vestige Shall Rot,,11,Archenemy
1,Evil Comes to Fruition,,12,Archenemy
1,I Call on the Ancient Magics,,16,Archenemy
1,I Delight in Your Convulsions,,17,Archenemy
1,Into the Earthen Maw,,20,Archenemy
1,Introductions Are in Order,,21,Archenemy
1,May Civilization Collapse,,25,Archenemy
2,Nature Demands an Offering,,31,Archenemy
2,Nature Shields Its Own,,32,Archenemy
1,Realms Befitting My Majesty,,36,Archenemy
2,Roots of All Evil,,37,Archenemy
1,The Very Soil Shall Shake,,41,Archenemy
1,Your Fate Is Thrice Sealed,,43,Archenemy
1,Your Puny Minds Cannot Fathom,,44,Archenemy
2,Your Will Is Not Your Own,,45,Archenemy
