Count,Name,Foil,Card Number,Edition
1,"Alela, Artful Provocateur",foil,324,Throne of Eldraine
1,All That Glitters,,2,Throne of Eldraine
1,Animating Faerie // Bring to Life,,38,Throne of Eldraine
1,Corridor Monitor,,41,Throne of Eldraine
1,Frogify,,47,Throne of Eldraine
1,Witching Well,,74,Throne of Eldraine
1,Shinechaser,,201,Throne of Eldraine
1,Arcanist's Owl,,206,Throne of Eldraine
1,Golden Egg,,220,Throne of Eldraine
1,Heraldic Banner,,222,Throne of Eldraine
1,Shambling Suit,,230,Throne of Eldraine
1,Mace of the Valiant,,314,Throne of Eldraine
1,Shimmer Dragon,,317,Throne of Eldraine
1,Workshop Elders,,318,Throne of Eldraine
1,Banish into Fable,,325,Throne of Eldraine
1,Arcane Signet,,331,Throne of Eldraine
1,Command Tower,,333,Throne of Eldraine
1,Ancestral Blade,,3,Core Set 2020
1,"Sephara, Sky's Blade",,36,Core Set 2020
1,Winged Words,,80,Core Set 2020
1,Bloodsoaked Altar,,90,Core Set 2020
1,Empyrean Eagle,,208,Core Set 2020
1,Bag of Holding,,222,Core Set 2020
1,Dismal Backwater,,245,Core Set 2020
1,Evolving Wilds,,246,Core Set 2020
1,Scoured Barrens,,251,Core Set 2020
1,Temple of Silence,,256,Core Set 2020
1,Tranquil Cove,,259,Core Set 2020
1,Prison Realm,,26,War of the Spark
1,Massacre Girl,,99,War of the Spark
1,Guild Globe,,239,War of the Spark
1,Mana Geode,,241,War of the Spark
1,Emergence Zone,,245,War of the Spark
1,Angelic Exaltation,,2,Ravnica Allegiance
1,Smothering Tithe,,22,Ravnica Allegiance
1,Kaya's Wrath,,187,Ravnica Allegiance
1,Lawmage's Binding,,190,Ravnica Allegiance
1,Mortify,,192,Ravnica Allegiance
1,Scrabbling Claws,,238,Ravnica Allegiance
1,Azorius Guildgate,,243,Ravnica Allegiance
1,Orzhov Guildgate,,253,Ravnica Allegiance
1,Conclave Tribunal,,6,Guilds of Ravnica
1,Chemister's Insight,,32,Guilds of Ravnica
1,Dimir Guildgate,,246,Guilds of Ravnica
1,Watery Grave,,259,Guilds of Ravnica
1,Plains,,250,Throne of Eldraine
2,Plains,,251,Throne of Eldraine
2,Plains,,252,Throne of Eldraine
1,Plains,,253,Throne of Eldraine
2,Island,,254,Throne of Eldraine
1,Island,,255,Throne of Eldraine
1,Island,,256,Throne of Eldraine
1,Island,,257,Throne of Eldraine
1,Swamp,,258,Throne of Eldraine
1,Swamp,,259,Throne of Eldraine
1,Swamp,,260,Throne of Eldraine
1,Swamp,,261,Throne of Eldraine
