Count,Name,Foil,Card Number,Edition
1,"Korvold, Fae-Cursed King",foil,329,Throne of Eldraine
1,Bake into a Pie,,76,Throne of Eldraine
1,"Syr Konrad, the Grim",,107,Throne of Eldraine
1,Keeper of Fables,,163,Throne of Eldraine
1,Savvy Hunter,,200,Throne of Eldraine
1,Golden Egg,,220,Throne of Eldraine
1,Witch's Oven,,237,Throne of Eldraine
1,Chittering Witch,,319,Throne of Eldraine
1,Taste of Death,,320,Throne of Eldraine
1,Thorn Mammoth,,323,Throne of Eldraine
1,Gluttonous Troll,,327,Throne of Eldraine
1,Arcane Signet,,331,Throne of Eldraine
1,Command Tower,,333,Throne of Eldraine
1,Bloodsoaked Altar,,90,Core Set 2020
1,Rapacious Dragon,,153,Core Set 2020
1,Thrashing Brontodon,,197,Core Set 2020
1,Woodland Champion,,205,Core Set 2020
1,Moldervine Reclamation,,214,Core Set 2020
1,Bloodfell Caves,,242,Core Set 2020
1,Cryptic Caves,,244,Core Set 2020
1,Evolving Wilds,,246,Core Set 2020
1,Jungle Hollow,,248,Core Set 2020
1,Rugged Highlands,,250,Core Set 2020
1,Temple of Malady,,254,Core Set 2020
1,Dreadhorde Invasion,,86,War of the Spark
1,"Krenko, Tin Street Kingpin",,137,War of the Spark
1,Evolution Sage,,159,War of the Spark
1,Paradise Druid,,171,War of the Spark
1,Pollenbright Druid,,173,War of the Spark
1,Deathsprout,,189,War of the Spark
1,Leyline Prowler,,202,War of the Spark
1,Mayhem Devil,,204,War of the Spark
1,"Angrath, Captain of Chaos",,227,War of the Spark
1,Orzhov Enforcer,,79,Ravnica Allegiance
1,Priest of Forgotten Gods,,83,Ravnica Allegiance
1,Vindictive Vampire,,90,Ravnica Allegiance
1,"Judith, the Scourge Diva",,185,Ravnica Allegiance
1,Rhythm of the Wild,,201,Ravnica Allegiance
1,Gruul Guildgate,,249,Ravnica Allegiance
1,Rakdos Guildgate,,256,Ravnica Allegiance
1,Stomping Ground,,259,Ravnica Allegiance
1,Plaguecrafter,,82,Guilds of Ravnica
1,Goblin Cratermaker,,103,Guilds of Ravnica
1,Golgari Findbroker,,175,Guilds of Ravnica
1,Find // Finality,,225,Guilds of Ravnica
1,Golgari Guildgate,,249,Guilds of Ravnica
2,Swamp,,258,Throne of Eldraine
2,Swamp,,259,Throne of Eldraine
1,Swamp,,260,Throne of Eldraine
1,Swamp,,261,Throne of Eldraine
1,Mountain,,262,Throne of Eldraine
1,Mountain,,263,Throne of Eldraine
2,Forest,,266,Throne of Eldraine
2,Forest,,267,Throne of Eldraine
1,Forest,,268,Throne of Eldraine
1,Forest,,269,Throne of Eldraine
