Count,Name,Foil,Card Number,Edition
4,Foul Orchard,,188,Rivals of Ixalan
2,Walk the Plank,,130,Ixalan
3,Dreamstealer,,63,Hour of Devastation
2,Hour of Glory,,65,Hour of Devastation
2,Hashep Oasis,,177,Hour of Devastation
1,Fatal Push,,57,Aether Revolt
4,Glint-Sleeve Siphoner,,62,Aether Revolt
3,"Rishkar, Peema Renegade",,122,Aether Revolt
4,Winding Constrictor,,140,Aether Revolt
1,Walking Ballista,,181,Aether Revolt
2,"Gonti, Lord of Luxury",,84,Kaladesh
4,Blossoming Defense,,146,Kaladesh
4,Longtusk Cub,,161,Kaladesh
3,Verdurous Gearhulk,,172,Kaladesh
2,Scrapheap Scrounger,,231,Kaladesh
4,Aether Hub,,242,Kaladesh
3,Swamp,,256,Kaladesh
3,Swamp,,257,Kaladesh
2,Swamp,,258,Kaladesh
3,Forest,,262,Kaladesh
2,Forest,,263,Kaladesh
2,Forest,,264,Kaladesh

4,Duress,,105,Ixalan
1,Slice in Twain,,207,Ixalan
3,Cartouche of Ambition,,83,Amonkhet
1,Dispossess,,86,Amonkhet
2,Lifecrafter's Bestiary,,162,Aether Revolt
2,Die Young,,76,Kaladesh
2,Appetite for the Unnatural,,141,Kaladesh
