Count,Name,Foil,Card Number,Edition
4,Fanatical Firebrand,,101,Rivals of Ixalan
4,Lightning Strike,,149,Ixalan
2,Abrade,,83,Hour of Devastation
4,Ahn-Crop Crasher,,117,Amonkhet
1,Glorybringer,,134,Amonkhet
3,Harsh Mentor,,135,Amonkhet
1,Hazoret the Fervent,,136,Amonkhet
2,Magma Spray,,141,Amonkhet
3,Soul-Scar Mage,,148,Amonkhet
4,Sunscorched Desert,,249,Amonkhet
3,"Kari Zev, Skyship Raider",,87,Aether Revolt
4,Shock,,98,Aether Revolt
1,"Chandra, Torch of Defiance",,110,Kaladesh
4,Bomat Courier,,199,Kaladesh
7,Mountain,,264,Amonkhet
7,Mountain,,265,Amonkhet
6,Mountain,,266,Amonkhet

3,Sentinel Totem,,245,Ixalan
4,Chandra's Defeat,,86,Hour of Devastation
2,Magma Spray,,141,Amonkhet
2,Kari Zev's Expertise,,88,Aether Revolt
2,Pia Nalaar,,124,Kaladesh
2,Key to the City,,220,Kaladesh
