Count,Name,Foil,Card Number,Edition
1,Settle the Wreckage,,34,Ixalan
4,Opt,,65,Ixalan
2,Field of Ruin,,254,Ixalan
4,Supreme Will,,49,Hour of Devastation
1,Farm // Market,,148,Hour of Devastation
2,Ipnu Rivulet,,180,Hour of Devastation
3,Approach of the Second Sun,,4,Amonkhet
4,Cast Out,,8,Amonkhet
1,Renewed Faith,,25,Amonkhet
4,Censor,,46,Amonkhet
1,Kefnet the Mindful,,59,Amonkhet
4,Irrigated Farmland,,245,Amonkhet
3,Fumigate,,15,Kaladesh
4,Aether Meltdown,,36,Kaladesh
4,Glimmer of Genius,,49,Kaladesh
3,Plains,,255,Amonkhet
3,Plains,,256,Amonkhet
2,Plains,,257,Amonkhet
4,Island,,258,Amonkhet
3,Island,,259,Amonkhet
3,Island,,260,Amonkhet

2,Spell Pierce,,81,Ixalan
4,Regal Caracal,,24,Amonkhet
2,Renewed Faith,,25,Amonkhet
2,Glyph Keeper,,55,Amonkhet
1,Kefnet the Mindful,,59,Amonkhet
4,Negate,,40,Aether Revolt
