Count,Name,Foil,Card Number,Edition
4,Lightning Strike,,149,Ixalan
1,Dragonskull Summit,,252,Ixalan
3,Unclaimed Territory,,258,Ixalan
2,Evolving Wilds,,242,Amonkhet
1,Aethersphere Harvester,,142,Aether Revolt
4,Heart of Kiran,,153,Aether Revolt
4,Spire of Industry,,184,Aether Revolt
4,Toolcraft Exemplar,,32,Kaladesh
2,Pia Nalaar,,124,Kaladesh
3,"Depala, Pilot Exemplar",,178,Kaladesh
4,Unlicensed Disintegration,,187,Kaladesh
4,Veteran Motorist,,188,Kaladesh
4,Bomat Courier,,199,Kaladesh
1,Cultivator's Caravan,,203,Kaladesh
4,Scrapheap Scrounger,,231,Kaladesh
1,"Skysovereign, Consul Flagship",,234,Kaladesh
3,Aether Hub,,242,Kaladesh
1,Concealed Courtyard,,245,Kaladesh
1,Inspiring Vantage,,246,Kaladesh
2,Plains,,250,Kaladesh
2,Plains,,251,Kaladesh
1,Plains,,252,Kaladesh
1,Swamp,,256,Kaladesh
1,Mountain,,259,Kaladesh
1,Mountain,,260,Kaladesh
1,Mountain,,261,Kaladesh

4,Duress,,105,Ixalan
2,Chandra's Defeat,,86,Hour of Devastation
2,Crook of Condemnation,,159,Hour of Devastation
1,Cast Out,,8,Amonkhet
3,Harsh Mentor,,135,Amonkhet
2,Magma Spray,,141,Amonkhet
1,Aethersphere Harvester,,142,Aether Revolt
