Count,Name,Foil,Card Number,Edition
2,Murmuring Mystic,,45,Guilds of Ravnica
4,Radical Idea,,52,Guilds of Ravnica
1,Arclight Phoenix,,91,Guilds of Ravnica
4,Lava Coil,,108,Guilds of Ravnica
1,Beacon Bolt,,154,Guilds of Ravnica
4,Crackling Drake,,163,Guilds of Ravnica
4,Goblin Electromancer,,174,Guilds of Ravnica
2,"Niv-Mizzet, Parun",,192,Guilds of Ravnica
4,Izzet Guildgate,,251,Guilds of Ravnica
4,Shock,,156,Core Set 2019
1,Blink of an Eye,,46,Dominaria
1,The Mirari Conjecture,,57,Dominaria
4,Opt,,60,Dominaria
3,Sulfur Falls,,247,Dominaria
4,Chart a Course,,48,Ixalan
2,Dive Down,,53,Ixalan
2,Island,,254,Dominaria
2,Island,,255,Dominaria
2,Island,,256,Dominaria
2,Island,,257,Dominaria
2,Mountain,,262,Dominaria
2,Mountain,,263,Dominaria
2,Mountain,,264,Dominaria
1,Mountain,,265,Dominaria

2,Disdainful Stroke,,37,Guilds of Ravnica
1,Beacon Bolt,,154,Guilds of Ravnica
1,The Mirari Conjecture,,57,Dominaria
2,Shivan Fire,,142,Dominaria
3,Negate,,44,Rivals of Ixalan
3,Entrancing Melody,,55,Ixalan
3,Fiery Cannonade,,143,Ixalan
