Count,Name,Foil,Card Number,Edition
1,Plaguecrafter,,82,Guilds of Ravnica
2,District Guide,,128,Guilds of Ravnica
3,Golgari Findbroker,,175,Guilds of Ravnica
2,Find // Finality,,225,Guilds of Ravnica
4,Golgari Guildgate,,248,Guilds of Ravnica
1,Overgrown Tomb,,253,Guilds of Ravnica
4,Cast Down,,81,Dominaria
3,The Eldest Reborn,,90,Dominaria
4,Llanowar Elves,,168,Dominaria
2,Memorial to Folly,,242,Dominaria
2,Woodland Cemetery,,248,Dominaria
3,Ravenous Chupacabra,,82,Rivals of Ixalan
2,Jadelight Ranger,,136,Rivals of Ixalan
4,Seekers' Squire,,121,Ixalan
4,Merfolk Branchwalker,,197,Ixalan
4,Wildgrowth Walker,,216,Ixalan
1,"Vraska, Relic Seeker",,232,Ixalan
4,Swamp,,268,Ixalan
2,Swamp,,269,Ixalan
4,Forest,,276,Ixalan
4,Forest,,277,Ixalan

2,Kraul Harpooner,,136,Guilds of Ravnica
4,Duress,,94,Core Set 2019
2,Murder,,110,Core Set 2019
2,Reclamation Sage,,196,Core Set 2019
3,Golden Demise,,73,Rivals of Ixalan
2,Arguel's Blood Fast // Temple of Aclazotz,,90,Ixalan
