Count,Name,Foil,Card Number,Edition
4,Ajani's Pridemate,,4,War of the Spark
3,Conclave Tribunal,,6,Guilds of Ravnica
4,Healer's Hawk,,14,Guilds of Ravnica
1,Hunted Witness,,15,Guilds of Ravnica
4,Leonin Vanguard,,22,Core Set 2019
4,Benalish Marshal,,6,Dominaria
4,Dauntless Bodyguard,,14,Dominaria
2,History of Benalia,,21,Dominaria
3,Pride of Conquerors,,17,Rivals of Ixalan
4,Skymarcher Aspirant,,21,Rivals of Ixalan
4,Adanto Vanguard,,1,Ixalan
2,"Legion's Landing // Adanto, the First Fort",,22,Ixalan
6,Plains,,250,Dominaria
5,Plains,,251,Dominaria
5,Plains,,252,Dominaria
5,Plains,,253,Dominaria

1,Conclave Tribunal,,6,Guilds of Ravnica
2,Make a Stand,,26,Core Set 2019
1,Remorseful Cleric,,33,Core Set 2019
3,Shield Mare,,37,Core Set 2019
3,Knight of Grace,,23,Dominaria
3,Baffling End,,1,Rivals of Ixalan
2,Tocatli Honor Guard,,42,Ixalan
