Count,Name,Foil,Card Number,Edition
4,Bonecrusher Giant // Stomp,,115,Throne of Eldraine
1,Embercleave,,120,Throne of Eldraine
4,Fervent Champion,,124,Throne of Eldraine
4,Rimrock Knight // Boulder Rush,,137,Throne of Eldraine
4,"Torbran, Thane of Red Fell",,147,Throne of Eldraine
3,Castle Embereth,,239,Throne of Eldraine
3,"Chandra, Acolyte of Flame",,126,Core Set 2020
4,Scorch Spitter,,159,Core Set 2020
4,Cavalcade of Calamity,,95,Ravnica Allegiance
4,Light Up the Stage,,107,Ravnica Allegiance
3,Tin Street Dodger,,120,Ravnica Allegiance
4,Runaway Steam-Kin,,115,Guilds of Ravnica
5,Mountain,,262,Throne of Eldraine
5,Mountain,,263,Throne of Eldraine
4,Mountain,,264,Throne of Eldraine
4,Mountain,,265,Throne of Eldraine

3,Satyr's Cunning,,152,Theros Beyond Death
3,Slaying Fire,,143,Throne of Eldraine
4,Shock,,160,Core Set 2020
2,"Tibalt, Rakish Instigator",,146,War of the Spark
3,Experimental Frenzy,,99,Guilds of Ravnica

2,Devil // Satyr,,6,Extras: Challenger Decks 2020
2,Elemental // Satyr,,7,Extras: Challenger Decks 2020
1,On an Adventure // On an Adventure,,10,Extras: Challenger Decks 2020
