Count,Name,Foil,Card Number,Edition
2,Thassa's Intervention,,72,Theros Beyond Death
1,Wavebreak Hippocamp,,80,Theros Beyond Death
1,Brazen Borrower // Petty Theft,,39,Throne of Eldraine
4,Opt,,59,Throne of Eldraine
4,Wildborn Preserver,,182,Throne of Eldraine
2,Castle Vantress,,242,Throne of Eldraine
1,Fabled Passage,,244,Throne of Eldraine
4,Brineborn Cutthroat,,50,Core Set 2020
4,Spectral Sailor,,76,Core Set 2020
2,Unsummon,,78,Core Set 2020
4,Nightpack Ambusher,,185,Core Set 2020
2,Temple of Mystery,,255,Core Set 2020
3,Thornwood Falls,,258,Core Set 2020
4,Quench,,48,Ravnica Allegiance
4,Frilled Mystic,,174,Ravnica Allegiance
2,Sinister Sabotage,,54,Guilds of Ravnica
2,Island,,254,Throne of Eldraine
2,Island,,255,Throne of Eldraine
2,Island,,256,Throne of Eldraine
2,Island,,257,Throne of Eldraine
2,Forest,,266,Throne of Eldraine
2,Forest,,267,Throne of Eldraine
2,Forest,,268,Throne of Eldraine
2,Forest,,269,Throne of Eldraine

3,Threnody Singer,,75,Theros Beyond Death
2,Mystical Dispute,,58,Throne of Eldraine
3,Aether Gust,,42,Core Set 2020
2,Negate,,69,Core Set 2020
3,Shifting Ceratops,,194,Core Set 2020
2,Disdainful Stroke,,37,Guilds of Ravnica

4,Wolf // Wolf,,8,Extras: Challenger Decks 2020
1,On an Adventure // On an Adventure,,10,Extras: Challenger Decks 2020
