Count,Name,Foil,Card Number,Edition
1,Doomskar,,9,Kaldheim
2,Behold the Multiverse,,46,Kaldheim
1,Saw It Coming,,76,Kaldheim
1,"Emeria's Call // Emeria, Shattered Skyclave",,12,Zendikar Rising
2,Skyclave Cleric // Skyclave Basilica,,40,Zendikar Rising
1,Negate,,71,Zendikar Rising
3,Neutralize,,59,Ikoria: Lair of Behemoths
1,Shark Typhoon,,67,Ikoria: Lair of Behemoths
4,Tranquil Cove,,257,Ikoria: Lair of Behemoths
2,Archon of Sun's Grace,,3,Theros Beyond Death
2,Banishing Light,,4,Theros Beyond Death
4,The Birth of Meletis,,5,Theros Beyond Death
3,Elspeth Conquers Death,,13,Theros Beyond Death
2,Shatter the Sky,,37,Theros Beyond Death
4,Omen of the Sea,,58,Theros Beyond Death
3,Thirst for Meaning,,74,Theros Beyond Death
2,Dream Trawler,,214,Theros Beyond Death
4,Temple of Enlightenment,,246,Theros Beyond Death
2,Glass Casket,,15,Throne of Eldraine
3,Plains,,260,Core Set 2021
3,Plains,,261,Core Set 2021
2,Plains,,262,Core Set 2021
3,Island,,263,Core Set 2021
3,Island,,264,Core Set 2021
2,Island,,265,Core Set 2021

2,Skyclave Apparition,,39,Zendikar Rising
3,Confounding Conundrum,,53,Zendikar Rising
2,Essence Scatter,,49,Ikoria: Lair of Behemoths
1,Archon of Sun's Grace,,3,Theros Beyond Death
2,Banishing Light,,4,Theros Beyond Death
2,Glass Casket,,15,Throne of Eldraine
3,Mystical Dispute,,58,Throne of Eldraine

2,Angel Warrior // Shark,,1,Extras: Challenger Decks 2021
1,Pegasus // Illusion,,4,Extras: Challenger Decks 2021
1,Pegasus // Shark,,5,Extras: Challenger Decks 2021
1,Pegasus // Wall,,6,Extras: Challenger Decks 2021
6,Double-Faced Card Placeholder,,1,Extras: Zendikar Rising Placeholders
