Count,Name,Foil,Card Number,Edition
4,Merfolk Windrobber,,70,Zendikar Rising
2,Blackbloom Rogue // Blackbloom Bog,,91,Zendikar Rising
2,Bloodchief's Thirst,,94,Zendikar Rising
1,Malakir Rebirth // Malakir Mire,,111,Zendikar Rising
3,Nighthawk Scavenger,,115,Zendikar Rising
4,Soaring Thought-Thief,,236,Zendikar Rising
3,"Zareth San, the Trickster",,242,Zendikar Rising
2,Heartless Act,,91,Ikoria: Lair of Behemoths
4,Dismal Backwater,,246,Ikoria: Lair of Behemoths
4,Temple of Deceit,,245,Theros Beyond Death
3,Vantress Gargoyle,,71,Throne of Eldraine
1,"Rankle, Master of Pranks",,101,Throne of Eldraine
4,Drown in the Loch,,188,Throne of Eldraine
2,Eliminate,,97,Core Set 2021
4,Thieves' Guild Enforcer,,125,Core Set 2021
3,Island,,263,Core Set 2021
3,Island,,264,Core Set 2021
2,Island,,265,Core Set 2021
3,Swamp,,266,Core Set 2021
3,Swamp,,267,Core Set 2021
3,Swamp,,268,Core Set 2021

2,Negate,,71,Zendikar Rising
1,Bloodchief's Thirst,,94,Zendikar Rising
3,Duress,,96,Core Set 2021
2,Pestilent Haze,,118,Core Set 2021
2,Agonizing Remorse,,83,Theros Beyond Death
3,Cling to Dust,,87,Theros Beyond Death
2,Into the Story,,50,Throne of Eldraine

5,Faerie Rogue // Goblin Rogue,,14,Extras: Zendikar Rising Commander
6,Double-Faced Card Placeholder,,1,Extras: Zendikar Rising Placeholders
