Count,Name,Foil,Card Number,Edition
2,Snakeskin Veil,,194,Kaldheim
3,Kazandu Mammoth // Kazandu Valley,,189,Zendikar Rising
3,Swarm Shambler,,207,Zendikar Rising
2,"Turntimber Symbiosis // Turntimber, Serpentine Wood",,215,Zendikar Rising
2,Gemrazer,,155,Ikoria: Lair of Behemoths
4,Ram Through,,170,Ikoria: Lair of Behemoths
4,Lovestruck Beast // Heart's Desire,,165,Throne of Eldraine
2,"Syr Faren, the Hengehammer",,177,Throne of Eldraine
2,Wildborn Preserver,,182,Throne of Eldraine
4,Wildwood Tracker,,183,Throne of Eldraine
2,"Yorvo, Lord of Garenbrig",,185,Throne of Eldraine
2,Stonecoil Serpent,,235,Throne of Eldraine
1,"Garruk, Unleashed",,183,Core Set 2021
3,Primal Might,,197,Core Set 2021
2,Scavenging Ooze,,204,Core Set 2021
3,Thrashing Brontodon,,209,Core Set 2021
7,Forest,,272,Core Set 2021
6,Forest,,273,Core Set 2021
6,Forest,,274,Core Set 2021

2,Snakeskin Veil,,194,Kaldheim
2,Khalni Ambush // Khalni Territory,,192,Zendikar Rising
2,Run Afoul,,201,Core Set 2021
1,Thrashing Brontodon,,209,Core Set 2021
3,Chainweb Aracnir,,167,Theros Beyond Death
3,Oakhame Adversary,,167,Throne of Eldraine
2,Return to Nature,,173,Throne of Eldraine

1,Human // Beast,,2,Extras: Challenger Decks 2021
3,Human // Insect,,3,Extras: Challenger Decks 2021
1,Beast // Insect,,8,Extras: Challenger Decks 2021
6,Double-Faced Card Placeholder,,1,Extras: Zendikar Rising Placeholders
