Count,Name,Foil,Card Number,Edition
4,Akoum Hellhound,,133,Zendikar Rising
4,Kargan Intimidator,,145,Zendikar Rising
4,Roil Eruption,,155,Zendikar Rising
2,"Shatterskull Smashing // Shatterskull, the Hammer Pass",,161,Zendikar Rising
4,Spikefield Hazard // Spikefield Cave,,166,Zendikar Rising
4,"Anax, Hardened in the Forge",,125,Theros Beyond Death
4,Bonecrusher Giant // Stomp,,115,Throne of Eldraine
1,Embercleave,,120,Throne of Eldraine
4,Fervent Champion,,124,Throne of Eldraine
4,Rimrock Knight // Boulder Rush,,137,Throne of Eldraine
3,"Torbran, Thane of Red Fell",,147,Throne of Eldraine
2,Castle Embereth,,239,Throne of Eldraine
4,Shock,,159,Core Set 2021
6,Mountain,,269,Core Set 2021
5,Mountain,,270,Core Set 2021
5,Mountain,,271,Core Set 2021

2,Relic Robber,,153,Zendikar Rising
2,Roiling Vortex,,156,Zendikar Rising
3,Thundering Rebuke,,170,Zendikar Rising
2,Soul Sear,,160,Core Set 2021
2,Soul-Guide Lantern,,237,Theros Beyond Death
4,Redcap Melee,,135,Throne of Eldraine

5,Satyr // Goblin Construct,,7,Extras: Challenger Decks 2021
6,Double-Faced Card Placeholder,,1,Extras: Zendikar Rising Placeholders
