Count,Name,Foil,Card Number,Edition
1,Brazen Borrower // Petty Theft,,39,Throne of Eldraine
4,Empyrean Eagle,,208,Core Set 2020
2,Glacial Fortress,,255,Ixalan
4,Lofty Denial,,56,Core Set 2021
2,Mausoleum Wanderer,,69,Eldritch Moon
4,Rattlechains,,81,Shadows over Innistrad
2,Remorseful Cleric,,33,Core Set 2019
1,Selfless Spirit,,40,Eldritch Moon
3,Shacklegeist,,70,Core Set 2021
4,Spectral Sailor,,76,Core Set 2020
2,Spell Pierce,,81,Ixalan
2,Spell Queller,,10,Pioneer Challenger Decks 2021
4,Supreme Phantom,,76,Core Set 2019
4,Temple of Enlightenment,,246,Theros Beyond Death
4,Watcher of the Spheres,,227,Core Set 2021
3,Plains,,260,Core Set 2021
2,Plains,,261,Core Set 2021
2,Plains,,262,Core Set 2021
3,Island,,263,Core Set 2021
3,Island,,264,Core Set 2021
4,Island,,265,Core Set 2021

2,Spell Pierce,,81,Ixalan
3,Isolate,,3,Pioneer Challenger Decks 2021
3,Aether Gust,,42,Core Set 2020
2,Seal Away,,31,Dominaria
1,Devout Decree,,13,Core Set 2020
2,Silkwrap,,4,Pioneer Challenger Decks 2021
2,Light of Hope,,20,Ikoria: Lair of Behemoths
