Count,Name,Foil,Card Number,Edition
4,Arboreal Grazer,,149,War of the Spark
2,Dig Through Time,,36,Khans of Tarkir
3,Fae of Wishes // Granted,,44,Throne of Eldraine
4,Hidden Strings,,5,Pioneer Challenger Decks 2021
4,Lotus Field,,249,Core Set 2020
1,Mastermind's Acquisition,,77,Rivals of Ixalan
4,Opt,,59,Core Set 2021
2,Peer into the Abyss,,117,Core Set 2021
4,Pore Over the Pages,,79,Shadows over Innistrad
4,Strategic Planning,,77,Kaldheim
4,Sylvan Scrying,,192,Battle for Zendikar
2,Temple of Mystery,,254,Core Set 2021
4,Thespian's Stage,,327,Double Masters
4,Vizier of Tumbling Sands,,75,Amonkhet
4,Yavimaya Coast,,252,Magic Origins
2,Island,,264,Core Set 2021
2,Island,,265,Core Set 2021
2,Forest,,272,Core Set 2021
2,Forest,,273,Core Set 2021
2,Forest,,274,Core Set 2021

1,Approach of the Second Sun,,1,Pioneer Challenger Decks 2021
1,Blink of an Eye,,46,Dominaria
1,Negate,,71,Zendikar Rising
1,Omniscience,,65,Core Set 2019
1,Peer into the Abyss,,117,Core Set 2021
2,Shifting Ceratops,,194,Core Set 2020
1,Sweltering Suns,,149,Amonkhet
3,Thought Distortion,,117,Core Set 2020
1,Tormod's Crypt,,241,Core Set 2021
1,Void Snare,,82,Magic 2015 Core Set
2,Wilt,,176,Ikoria: Lair of Behemoths
