Count,Name,Foil,Card Number,Edition
4,Bomat Courier,,199,Kaladesh
4,Bonecrusher Giant // Stomp,,115,Throne of Eldraine
4,Ghitu Lavarunner,,127,Dominaria
4,Light Up the Stage,,107,Ravnica Allegiance
4,Lightning Strike,,152,Core Set 2019
4,Monastery Swiftspear,,118,Khans of Tarkir
4,Ramunap Ruins,,181,Hour of Devastation
4,Soul-Scar Mage,,148,Amonkhet
4,Viashino Pyromancer,,166,Core Set 2019
4,Wild Slash,,8,Pioneer Challenger Decks 2021
4,Wizard's Lightning,,152,Dominaria
6,Mountain,,269,Core Set 2021
5,Mountain,,270,Core Set 2021
5,Mountain,,271,Core Set 2021

1,"Chandra, Torch of Defiance",,6,Pioneer Challenger Decks 2021
3,Goblin Chainwhirler,,129,Dominaria
3,Magma Spray,,141,Amonkhet
4,Roiling Vortex,,156,Zendikar Rising
4,Searing Blood,,7,Pioneer Challenger Decks 2021
