Count,Name,Foil,Card Number,Edition
4,All That Glitters,,2,Throne of Eldraine
4,Alseid of Life's Bounty,,1,Theros Beyond Death
4,Cartouche of Solidarity,,7,Amonkhet
4,Caves of Koilos,,245,Magic Origins
4,Concealed Courtyard,,245,Kaladesh
4,Ethereal Armor,,2,Pioneer Challenger Decks 2021
4,Gryff's Boon,,20,Shadows over Innistrad
4,Hateful Eidolon,,101,Theros Beyond Death
3,Karametra's Blessing,,26,Theros Beyond Death
4,Selfless Savior,,36,Core Set 2021
4,Sentinel's Eyes,,36,Theros Beyond Death
4,"Sram, Senior Edificer",,23,Aether Revolt
2,Stonecoil Serpent,,235,Throne of Eldraine
3,Plains,,260,Core Set 2021
2,Plains,,261,Core Set 2021
2,Plains,,262,Core Set 2021
2,Swamp,,267,Core Set 2021
2,Swamp,,268,Core Set 2021

4,Apostle of Purifying Light,,6,Core Set 2020
3,Dead Weight,,83,Ikoria: Lair of Behemoths
3,Duress,,96,Core Set 2021
3,Hushbringer,,18,Throne of Eldraine
1,Lurrus of the Dream-Den,,9,Pioneer Challenger Decks 2021
1,Thoughtseize,,109,Double Masters
