Count,Name,Foil,Card Number,Edition
2,Twinshot Sniper,,168,Kamigawa: Neon Dynasty
4,Abrade,,139,Innistrad: Crimson Vow
3,Ulvenwald Oddity // Ulvenwald Behemoth,,225,Innistrad: Crimson Vow
2,"Halana and Alena, Partners",,239,Innistrad: Crimson Vow
1,Light Up the Night,,146,Innistrad: Midnight Hunt
4,Briarbridge Tracker,,172,Innistrad: Midnight Hunt
2,Tovolar's Huntmaster // Tovolar's Packleader,,204,Innistrad: Midnight Hunt
4,Rockfall Vale,,266,Innistrad: Midnight Hunt
4,Ranger Class,,202,Adventures in the Forgotten Realms
2,Lair of the Hydra,,259,Adventures in the Forgotten Realms
1,Goldspan Dragon,,139,Kaldheim
4,"Magda, Brazen Outlaw",,142,Kaldheim
4,Jaspera Sentinel,,178,Kaldheim
4,Snakeskin Veil,,194,Kaldheim
1,Thundering Rebuke,,170,Zendikar Rising
8,Mountain,,274,Innistrad: Midnight Hunt
10,Forest,,276,Innistrad: Midnight Hunt

2,Twinshot Sniper,,168,Kamigawa: Neon Dynasty
1,Kappa Tech-Wrecker,,198,Kamigawa: Neon Dynasty
1,Kappa Tech-Wrecker,,348,Kamigawa: Neon Dynasty
2,Lantern of the Lost,,259,Innistrad: Crimson Vow
2,"Tovolar, Dire Overlord // Tovolar, the Midnight Scourge",,246,Innistrad: Midnight Hunt
3,Burning Hands,,135,Adventures in the Forgotten Realms
1,Froghemoth,,184,Adventures in the Forgotten Realms
3,Thundering Rebuke,,170,Zendikar Rising

1,Wolf // Clue,,4,Extras: Challenger Decks 2022
1,Wolf // Clue,,9,Extras: Challenger Decks 2022
1,Treasure // Wolf,,5,Extras: Challenger Decks 2022
1,Treasure // Wolf,,10,Extras: Challenger Decks 2022
1,Day // Night,,19,Extras: Innistrad: Midnight Hunt
3,Double-Faced Card Placeholder,,1,Extras: Innistrad: Crimson Vow Placeholders
4,Double-Faced Card Placeholder,,80,Extras: Innistrad: Midnight Hunt
