Count,Name,Foil,Card Number,Edition
2,"Thalia, Guardian of Thraben",,38,Innistrad: Crimson Vow
2,Fateful Absence,,18,Innistrad: Midnight Hunt
1,Intrepid Adversary,,25,Innistrad: Midnight Hunt
4,Monk of the Open Hand,,25,Adventures in the Forgotten Realms
3,Paladin Class,,29,Adventures in the Forgotten Realms
3,Elite Spellbinder,,17,Strixhaven: School of Mages
4,Clarion Spirit,,6,Kaldheim
4,Codespell Cleric,,7,Kaldheim
2,"Reidane, God of the Worthy // Valkmira, Protector's Shield",,21,Kaldheim
4,Usher of the Fallen,,35,Kaldheim
3,Faceless Haven,,255,Kaldheim
2,Kabira Takedown // Kabira Plateau,,19,Zendikar Rising
4,Luminarch Aspirant,,24,Zendikar Rising
2,Skyclave Apparition,,39,Zendikar Rising
20,Snow-Covered Plains,,276,Kaldheim

2,Imperial Recovery Unit,,18,Kamigawa: Neon Dynasty
1,Selfless Samurai,,35,Kamigawa: Neon Dynasty
1,Selfless Samurai,,312,Kamigawa: Neon Dynasty
3,Cathar Commando,,10,Innistrad: Midnight Hunt
2,Sungold Sentinel,,37,Innistrad: Midnight Hunt
2,Loyal Warhound,,23,Adventures in the Forgotten Realms
2,Portable Hole,,33,Adventures in the Forgotten Realms
2,Maul of the Skyclaves,,27,Zendikar Rising

5,Spirit // Human Warrior,,32,Extras: Kaldheim
2,Illusion // Clue,,1,Extras: Challenger Decks 2022
1,Day // Night,,19,Extras: Innistrad: Midnight Hunt
2,Double-Faced Card Placeholder,,1,Extras: Kaldheim Placeholders
2,Double-Faced Card Placeholder,,1,Extras: Zendikar Rising Placeholders
