Count,Name,Foil,Card Number,Edition
2,Mukotai Soulripper,,113,Kamigawa: Neon Dynasty
2,Sokenzan Smelter,,164,Kamigawa: Neon Dynasty
4,Voltage Surge,,171,Kamigawa: Neon Dynasty
2,Oni-Cult Anvil,,230,Kamigawa: Neon Dynasty
4,Bloodfell Caves,,264,Kamigawa: Neon Dynasty
1,"Henrika Domnathi // Henrika, Infernal Seer",,119,Innistrad: Crimson Vow
4,Voldaren Bloodcaster // Bloodbat Summoner,,137,Innistrad: Crimson Vow
2,Dominating Vampire,,154,Innistrad: Crimson Vow
4,Voldaren Epicure,,182,Innistrad: Crimson Vow
3,Bloodtithe Harvester,,232,Innistrad: Crimson Vow
3,Voldaren Estate,,267,Innistrad: Crimson Vow
7,Swamp,,272,Innistrad: Crimson Vow
6,Mountain,,274,Innistrad: Crimson Vow
1,Bloodtithe Harvester,,310,Innistrad: Crimson Vow
2,Infernal Grasp,,107,Innistrad: Midnight Hunt
2,"Florian, Voldaren Scion",,223,Innistrad: Midnight Hunt
2,Vampire Socialite,,249,Innistrad: Midnight Hunt
2,Den of the Bugbear,,254,Adventures in the Forgotten Realms
1,Village Rites,,117,Kaldheim
4,Immersturm Predator,,214,Kaldheim
2,Blightstep Pathway // Searstep Pathway,,252,Kaldheim

3,Falkenrath Forebear,,111,Innistrad: Crimson Vow
4,Abrade,,139,Innistrad: Crimson Vow
2,"Anje, Maid of Dishonor",,231,Innistrad: Crimson Vow
3,Duress,,98,Innistrad: Midnight Hunt
1,Infernal Grasp,,107,Innistrad: Midnight Hunt
2,Callous Bloodmage,,66,Strixhaven: School of Mages

1,Construct // Blood,,2,Extras: Challenger Decks 2022
1,Goblin // Blood,,3,Extras: Challenger Decks 2022
1,Pest // Blood,,6,Extras: Challenger Decks 2022
2,Construct // Blood,,8,Extras: Challenger Decks 2022
5,Double-Faced Card Placeholder,,1,Extras: Innistrad: Crimson Vow Placeholders
2,Double-Faced Card Placeholder,,1,Extras: Zendikar Rising Placeholders
