Count,Name,Foil,Card Number,Edition
1,Altar's Reap,,45,Commander Anthology
1,Ambition's Cost,,46,Commander Anthology
1,Banshee of the Dread Choir,,47,Commander Anthology
1,Barter in Blood,,48,Commander Anthology
1,Blood Bairn,,49,Commander Anthology
1,Butcher of Malakir,,50,Commander Anthology
1,Champion of Stray Souls,,51,Commander Anthology
1,Corpse Augur,,52,Commander Anthology
1,Diabolic Servitude,,53,Commander Anthology
1,Dread Summons,,56,Commander Anthology
1,Eater of Hope,,57,Commander Anthology
1,Extractor Demon,,59,Commander Anthology
1,Phyrexian Plaguelord,,61,Commander Anthology
1,Phyrexian Rager,,62,Commander Anthology
1,Rise from the Grave,,65,Commander Anthology
1,Scourge of Nel Toth,,66,Commander Anthology
1,Sever the Bloodline,,67,Commander Anthology
1,Shriekmaw,,68,Commander Anthology
1,Thief of Blood,,71,Commander Anthology
1,Victimize,,72,Commander Anthology
1,Wretched Confluence,,74,Commander Anthology
1,Acidic Slime,,90,Commander Anthology
1,Bloodspore Thrinax,,93,Commander Anthology
1,Caller of the Pack,,94,Commander Anthology
1,Centaur Vinecrasher,,95,Commander Anthology
1,Cloudthresher,,96,Commander Anthology
1,Eternal Witness,,107,Commander Anthology
1,Great Oak Guardian,,113,Commander Anthology
1,Indrik Stomphowler,,119,Commander Anthology
1,Kessig Cagebreakers,,122,Commander Anthology
1,Mulch,,128,Commander Anthology
1,Mycoloth,,129,Commander Anthology
1,Overwhelming Stampede,,131,Commander Anthology
1,Pathbreaker Ibex,,132,Commander Anthology
1,Primal Growth,,137,Commander Anthology
1,Sakura-Tribe Elder,,142,Commander Anthology
1,Satyr Wayfinder,,143,Commander Anthology
1,Skullwinder,,146,Commander Anthology
1,Spider Spawning,,149,Commander Anthology
1,Terastodon,,153,Commander Anthology
1,Tribute to the Wild,,160,Commander Anthology
1,Verdant Force,,161,Commander Anthology
1,Viridian Emissary,,162,Commander Anthology
1,Viridian Zealot,,163,Commander Anthology
1,Wall of Blossoms,,164,Commander Anthology
1,Wood Elves,,170,Commander Anthology
1,Golgari Charm,,177,Commander Anthology
1,Grisly Salvage,,178,Commander Anthology
1,"Jarad, Golgari Lich Lord",,179,Commander Anthology
1,Korozda Guildmage,,181,Commander Anthology
1,Lotleth Troll,,183,Commander Anthology
1,"Mazirek, Kraul Death Priest",,185,Commander Anthology
1,Meren of Clan Nel Toth,foil,186,Commander Anthology
1,Putrefy,,189,Commander Anthology
1,Vulturous Zombie,,196,Commander Anthology
1,Bonehoard,,211,Commander Anthology
1,Eldrazi Monument,,216,Commander Anthology
1,Golgari Signet,,218,Commander Anthology
1,Lightning Greaves,,220,Commander Anthology
1,Skullclamp,,230,Commander Anthology
1,Sol Ring,,231,Commander Anthology
1,Thought Vessel,,235,Commander Anthology
1,Command Tower,,245,Commander Anthology
1,Evolving Wilds,,247,Commander Anthology
1,Golgari Guildgate,,252,Commander Anthology
1,Golgari Rot Farm,,253,Commander Anthology
1,Grim Backwoods,,254,Commander Anthology
1,High Market,,257,Commander Anthology
1,Jungle Hollow,,259,Commander Anthology
1,Polluted Mire,,265,Commander Anthology
1,Slippery Karst,,275,Commander Anthology
1,Tainted Wood,,276,Commander Anthology
1,Terramorphic Expanse,,278,Commander Anthology
1,Vivid Grove,,281,Commander Anthology
1,Vivid Marsh,,282,Commander Anthology
3,Swamp,,297,Commander Anthology
4,Swamp,,298,Commander Anthology
3,Swamp,,299,Commander Anthology
3,Swamp,,302,Commander Anthology
3,Forest,,311,Commander Anthology
3,Forest,,312,Commander Anthology
3,Forest,,313,Commander Anthology
3,Forest,,314,Commander Anthology
1,Germ,,4,Extras: Commander Anthology
4,Beast,,7,Extras: Commander Anthology
6,Elephant,,10,Extras: Commander Anthology
4,Spider,,14,Extras: Commander Anthology
4,Wolf,,17,Extras: Commander Anthology
1,Experience,,20,Extras: Commander Anthology
