Count,Name,Foil,Card Number,Edition
2,Abyssal Specter,,1,Deckmasters
2,Contagion,,2,Deckmasters
2,Dark Banishing,,3,Deckmasters
2,Dark Ritual,,4,Deckmasters
2,Foul Familiar,,5,Deckmasters
1,Lim-Dul's High Guard,,6,Deckmasters
1,Necropotence,foil,7,Deckmasters
1,Phantasmal Fiend,,8,Deckmasters
2,Soul Burn,,9,Deckmasters
1,Balduvian Horde,,10,Deckmasters
2,Goblin Mutant,,12,Deckmasters
1,Guerrilla Tactics,,13,Deckmasters
2,Incinerate,,14,Deckmasters
2,Lava Burst,,16,Deckmasters
2,Orcish Cannoneers,,17,Deckmasters
2,Pyroclasm,,19,Deckmasters
1,Storm Shaman,,21,Deckmasters
1,Icy Manipulator,,36,Deckmasters
1,Icy Manipulator,foil,57,Deckmasters
1,Phyrexian War Beast,,37,Deckmasters
1,Sulfurous Springs,,40,Deckmasters
1,Underground River,,41,Deckmasters
1,Lim-Dul's High Guard,,51,Deckmasters
1,Phantasmal Fiend,,52,Deckmasters
1,Guerrilla Tactics,,53,Deckmasters
1,Storm Shaman,,54,Deckmasters
1,Phyrexian War Beast,,56,Deckmasters
4,Swamp,,42,Deckmasters
4,Swamp,,43,Deckmasters
4,Swamp,,44,Deckmasters
4,Mountain,,45,Deckmasters
4,Mountain,,46,Deckmasters
4,Mountain,,47,Deckmasters
