Count,Name,Foil,Card Number,Edition
2,Death Spark,,11,Deckmasters
1,Incinerate,foil,58,Deckmasters
1,Incinerate,,14,Deckmasters
1,Jokulhaups,,15,Deckmasters
2,Lava Burst,,16,Deckmasters
1,Pillage,,18,Deckmasters
1,Shatter,,20,Deckmasters
1,Storm Shaman,,21,Deckmasters
2,Balduvian Bears,,22,Deckmasters
1,Bounty of the Hunt,,23,Deckmasters
1,Elvish Bard,,24,Deckmasters
1,Folk of the Pines,,25,Deckmasters
2,Fyndhorn Elves,,26,Deckmasters
2,Giant Growth,,27,Deckmasters
1,Hurricane,,28,Deckmasters
1,Lhurgoyf,foil,29,Deckmasters
2,Woolly Spider,,30,Deckmasters
1,Yavimaya Ancients,,31,Deckmasters
2,Yavimaya Ants,,32,Deckmasters
2,Giant Trap Door Spider,,33,Deckmasters
2,Barbed Sextant,,34,Deckmasters
1,Elkin Bottle,,35,Deckmasters
1,Phyrexian War Beast,,37,Deckmasters
2,Walking Wall,,38,Deckmasters
1,Karplusan Forest,,39,Deckmasters
1,Storm Shaman,,54,Deckmasters
1,Yavimaya Ancients,,55,Deckmasters
1,Phyrexian War Beast,,56,Deckmasters
4,Mountain,,45,Deckmasters
4,Mountain,,46,Deckmasters
4,Mountain,,47,Deckmasters
4,Forest,,48,Deckmasters
4,Forest,,49,Deckmasters
4,Forest,,50,Deckmasters
