Count,Name,Foil,Card Number,Edition
1,Ascendant Evincar,foil,19,Duels of the Planeswalkers
2,Abyssal Specter,,18,Duels of the Planeswalkers
2,Consume Spirit,,20,Duels of the Planeswalkers
1,Crowd of Cinders,,21,Duels of the Planeswalkers
3,Drudge Skeletons,,22,Duels of the Planeswalkers
2,Dusk Imp,,23,Duels of the Planeswalkers
2,Megrim,,26,Duels of the Planeswalkers
4,Mind Rot,,27,Duels of the Planeswalkers
1,Mind Shatter,,28,Duels of the Planeswalkers
1,Mortivore,,30,Duels of the Planeswalkers
3,Ravenous Rats,,31,Duels of the Planeswalkers
1,Sengir Vampire,,32,Duels of the Planeswalkers
2,Severed Legion,,33,Duels of the Planeswalkers
4,Terror,,34,Duels of the Planeswalkers
1,Underworld Dreams,,35,Duels of the Planeswalkers
2,Unholy Strength,,36,Duels of the Planeswalkers
2,Demon's Horn,,91,Duels of the Planeswalkers
1,The Rack,,95,Duels of the Planeswalkers
7,Swamp,,102,Duels of the Planeswalkers
6,Swamp,,103,Duels of the Planeswalkers
6,Swamp,,104,Duels of the Planeswalkers
6,Swamp,,105,Duels of the Planeswalkers
