Count,Name,Foil,Card Number,Edition
1,Phyrexian Negator,foil,1,Duel Decks: Phyrexia vs. the Coalition
1,Carrion Feeder,,2,Duel Decks: Phyrexia vs. the Coalition
1,Phyrexian Battleflies,,3,Duel Decks: Phyrexia vs. the Coalition
1,Phyrexian Denouncer,,4,Duel Decks: Phyrexia vs. the Coalition
1,Bone Shredder,,5,Duel Decks: Phyrexia vs. the Coalition
1,Phyrexian Ghoul,,6,Duel Decks: Phyrexia vs. the Coalition
2,Priest of Gix,,7,Duel Decks: Phyrexia vs. the Coalition
1,Phyrexian Broodlings,,8,Duel Decks: Phyrexia vs. the Coalition
1,Sanguine Guard,,9,Duel Decks: Phyrexia vs. the Coalition
1,Phyrexian Debaser,,10,Duel Decks: Phyrexia vs. the Coalition
1,Order of Yawgmoth,,11,Duel Decks: Phyrexia vs. the Coalition
1,Phyrexian Defiler,,12,Duel Decks: Phyrexia vs. the Coalition
1,Phyrexian Plaguelord,,13,Duel Decks: Phyrexia vs. the Coalition
1,Phyrexian Hulk,,14,Duel Decks: Phyrexia vs. the Coalition
1,Phyrexian Gargantua,,15,Duel Decks: Phyrexia vs. the Coalition
1,Phyrexian Colossus,,16,Duel Decks: Phyrexia vs. the Coalition
1,Voltaic Key,,17,Duel Decks: Phyrexia vs. the Coalition
2,Dark Ritual,,18,Duel Decks: Phyrexia vs. the Coalition
1,Lightning Greaves,,19,Duel Decks: Phyrexia vs. the Coalition
1,Phyrexian Totem,,20,Duel Decks: Phyrexia vs. the Coalition
1,Phyrexian Vault,,21,Duel Decks: Phyrexia vs. the Coalition
2,Puppet Strings,,22,Duel Decks: Phyrexia vs. the Coalition
1,Whispersilk Cloak,,23,Duel Decks: Phyrexia vs. the Coalition
1,Worn Powerstone,,24,Duel Decks: Phyrexia vs. the Coalition
1,Slay,,25,Duel Decks: Phyrexia vs. the Coalition
1,Hideous End,,26,Duel Decks: Phyrexia vs. the Coalition
1,Phyrexian Arena,,27,Duel Decks: Phyrexia vs. the Coalition
1,Hornet Cannon,,28,Duel Decks: Phyrexia vs. the Coalition
1,Phyrexian Processor,,29,Duel Decks: Phyrexia vs. the Coalition
2,Tendrils of Corruption,,30,Duel Decks: Phyrexia vs. the Coalition
1,Living Death,,31,Duel Decks: Phyrexia vs. the Coalition
7,Swamp,,32,Duel Decks: Phyrexia vs. the Coalition
6,Swamp,,33,Duel Decks: Phyrexia vs. the Coalition
6,Swamp,,34,Duel Decks: Phyrexia vs. the Coalition
6,Swamp,,35,Duel Decks: Phyrexia vs. the Coalition
1,Hornet,,1,Extras: Duel Decks: Phyrexia vs. the Coalition
1,Minion,,2,Extras: Duel Decks: Phyrexia vs. the Coalition

1,Urza's Rage,foil,36,Duel Decks: Phyrexia vs. the Coalition
2,Thornscape Apprentice,,37,Duel Decks: Phyrexia vs. the Coalition
2,Nomadic Elf,,38,Duel Decks: Phyrexia vs. the Coalition
1,Quirion Elves,,39,Duel Decks: Phyrexia vs. the Coalition
1,Sunscape Battlemage,,40,Duel Decks: Phyrexia vs. the Coalition
1,Thunderscape Battlemage,,41,Duel Decks: Phyrexia vs. the Coalition
2,Thornscape Battlemage,,42,Duel Decks: Phyrexia vs. the Coalition
1,Verduran Emissary,,43,Duel Decks: Phyrexia vs. the Coalition
2,Yavimaya Elder,,44,Duel Decks: Phyrexia vs. the Coalition
1,Charging Troll,,45,Duel Decks: Phyrexia vs. the Coalition
1,Gerrard Capashen,,46,Duel Decks: Phyrexia vs. the Coalition
1,"Darigaaz, the Igniter",,47,Duel Decks: Phyrexia vs. the Coalition
1,"Rith, the Awakener",,48,Duel Decks: Phyrexia vs. the Coalition
1,"Treva, the Renewer",,49,Duel Decks: Phyrexia vs. the Coalition
1,Evasive Action,,50,Duel Decks: Phyrexia vs. the Coalition
1,Tribal Flames,,51,Duel Decks: Phyrexia vs. the Coalition
2,Fertile Ground,,52,Duel Decks: Phyrexia vs. the Coalition
1,Gerrard's Command,,53,Duel Decks: Phyrexia vs. the Coalition
1,Coalition Relic,,54,Duel Decks: Phyrexia vs. the Coalition
1,Narrow Escape,,55,Duel Decks: Phyrexia vs. the Coalition
1,Exotic Curse,,56,Duel Decks: Phyrexia vs. the Coalition
2,Harrow,,57,Duel Decks: Phyrexia vs. the Coalition
2,Armadillo Cloak,,58,Duel Decks: Phyrexia vs. the Coalition
1,Darigaaz's Charm,,59,Duel Decks: Phyrexia vs. the Coalition
1,Rith's Charm,,60,Duel Decks: Phyrexia vs. the Coalition
1,Treva's Charm,,61,Duel Decks: Phyrexia vs. the Coalition
1,Power Armor,,62,Duel Decks: Phyrexia vs. the Coalition
1,Allied Strategies,,63,Duel Decks: Phyrexia vs. the Coalition
1,Elfhame Palace,,64,Duel Decks: Phyrexia vs. the Coalition
1,Shivan Oasis,,65,Duel Decks: Phyrexia vs. the Coalition
3,Terramorphic Expanse,,66,Duel Decks: Phyrexia vs. the Coalition
4,Plains,,67,Duel Decks: Phyrexia vs. the Coalition
1,Island,,68,Duel Decks: Phyrexia vs. the Coalition
1,Swamp,,33,Duel Decks: Phyrexia vs. the Coalition
4,Mountain,,69,Duel Decks: Phyrexia vs. the Coalition
5,Forest,,70,Duel Decks: Phyrexia vs. the Coalition
5,Forest,,71,Duel Decks: Phyrexia vs. the Coalition
1,Saproling,,3,Extras: Duel Decks: Phyrexia vs. the Coalition
