Count,Name,Foil,Card Number,Edition
2,Crypt Creeper,,91,Avacyn Restored
1,Gloom Surgeon,,104,Avacyn Restored
8,Swamp,,236,Avacyn Restored
8,Swamp,,237,Avacyn Restored
8,Swamp,,238,Avacyn Restored
1,Geralf's Messenger,,63,Dark Ascension
1,Gravecrawler,,64,Dark Ascension
4,Highborn Ghoul,,68,Dark Ascension
3,Altar's Reap,,86,Innistrad
4,Diregraf Ghoul,,97,Innistrad
3,Ghoulraiser,,102,Innistrad
1,Cemetery Reaper,,86,Magic 2012
2,Doom Blade,,95,Magic 2012
3,Despise,,56,New Phyrexia
2,Dismember,,57,New Phyrexia
2,Lashwrithe,,143,New Phyrexia
3,Go for the Throat,,43,Mirrodin Besieged
4,Skinrender,,78,Scars of Mirrodin

2,Appetite for Brains,,84,Avacyn Restored
2,Crypt Creeper,,91,Avacyn Restored
3,Triumph of Cruelty,,122,Avacyn Restored
1,Ghoulraiser,,102,Innistrad
3,Deathmark,,90,Magic 2012
2,Distress,,94,Magic 2012
1,Despise,,56,New Phyrexia
1,Surgical Extraction,,74,New Phyrexia
