Count,Name,Foil,Card Number,Edition
1,Divine Deflection,,18,Avacyn Restored
3,Nearheath Pilgrim,,31,Avacyn Restored
3,Righteous Blow,,34,Avacyn Restored
2,Nephalia Smuggler,,69,Avacyn Restored
3,Tandem Lookout,,80,Avacyn Restored
2,Wingcrafter,,83,Avacyn Restored
4,Plains,,230,Avacyn Restored
4,Plains,,231,Avacyn Restored
4,Plains,,232,Avacyn Restored
3,Island,,233,Avacyn Restored
3,Island,,234,Avacyn Restored
3,Island,,235,Avacyn Restored
4,Fiend Hunter,,15,Innistrad
1,Moorland Haunt,,244,Innistrad
4,Gideon's Lawkeeper,,18,Magic 2012
3,Oblivion Ring,,27,Magic 2012
2,Glacial Fortress,,227,Magic 2012
1,Blade Splicer,,4,New Phyrexia
4,Porcelain Legionnaire,,19,New Phyrexia
2,Mental Misstep,,38,New Phyrexia
1,Phyrexian Metamorph,,42,New Phyrexia
2,Dismember,,57,New Phyrexia
1,Mirran Crusader,,14,Mirrodin Besieged

3,Cathedral Sanctifier,,11,Avacyn Restored
2,Cloudshift,,12,Avacyn Restored
2,Inquisitor Exarch,,12,New Phyrexia
1,Pacifism,,28,Magic 2012
4,Mana Leak,,63,Magic 2012
3,Negate,,69,Magic 2012
