Count,Name,Foil,Card Number,Edition
1,Smothering Abomination,,99,Battle for Zendikar
4,Bone Splinters,,105,Battle for Zendikar
2,Vampiric Rites,,124,Battle for Zendikar
2,Zulaport Cutthroat,,126,Battle for Zendikar
4,Blisterpod,,163,Battle for Zendikar
1,Eyeless Watcher,,166,Battle for Zendikar
4,Rot Shambler,,187,Battle for Zendikar
1,Brood Butcher,,199,Battle for Zendikar
4,Catacomb Sifter,,201,Battle for Zendikar
4,Evolving Wilds,,236,Battle for Zendikar
3,Swamp,,260,Battle for Zendikar
3,Swamp,,264,Battle for Zendikar
4,Forest,,271,Battle for Zendikar
3,Forest,,272,Battle for Zendikar
2,Nantuko Husk,,109,Magic Origins
1,Evolutionary Leap,,176,Magic Origins
1,Hangarback Walker,,229,Magic Origins
1,Llanowar Wastes,,248,Magic Origins
2,Rogue's Passage,,250,Magic Origins
1,Corpseweft,,92,Dragons of Tarkir
2,Sultai Emissary,,85,Fate Reforged
1,"Tasigur, the Golden Fang",,87,Fate Reforged
1,Warden of the First Tree,,143,Fate Reforged
1,Whisperwood Elemental,,145,Fate Reforged
4,Jungle Hollow,,169,Fate Reforged
1,Grim Haruspex,,73,Khans of Tarkir
2,Murderous Cut,,81,Khans of Tarkir

4,Jaddi Offshoot,,176,Battle for Zendikar
3,Caustic Caterpillar,,170,Magic Origins
3,Duress,,98,Dragons of Tarkir
2,Ultimate Price,,124,Dragons of Tarkir
3,Cranial Archive,,218,Khans of Tarkir
