Count,Name,Foil,Card Number,Edition
2,Bile Blight,,61,Born of the Gods
1,Fated Return,,69,Born of the Gods
1,Herald of Torment,,75,Born of the Gods
3,Spiteful Returned,,84,Born of the Gods
1,Agent of the Fates,,76,Theros
1,Erebos's Emissary,,86,Theros
1,Hero's Downfall,,90,Theros
3,Mogis's Marauder,,97,Theros
3,Tormented Hero,,108,Theros
6,Swamp,,238,Theros
6,Swamp,,239,Theros
6,Swamp,,240,Theros
6,Swamp,,241,Theros
3,Doom Blade,,96,Magic 2014 Core Set
2,Xathrid Necromancer,,123,Magic 2014 Core Set
1,Blood Scrivener,,22,Dragon's Maze
1,Crypt Ghast,,61,Gatecrash
1,Gift of Orzhova,,219,Gatecrash
1,Desecration Demon,,63,Return to Ravnica
1,Pack Rat,,73,Return to Ravnica
2,Ultimate Price,,82,Return to Ravnica
4,Rakdos Cackler,,220,Return to Ravnica
4,Rakdos Shred-Freak,,221,Return to Ravnica

2,Dark Betrayal,,83,Theros
2,Pharika's Cure,,100,Theros
4,Duress,,97,Magic 2014 Core Set
2,Staff of the Death Magus,,219,Magic 2014 Core Set
2,Gift of Orzhova,,219,Gatecrash
3,Cremate,,59,Return to Ravnica
