Count,Name,Foil,Card Number,Edition
4,Wake the Reflections,,10,Dragon's Maze
1,Advent of the Wurm,,51,Dragon's Maze
4,Selesnya Guildgate,,155,Dragon's Maze
1,Godless Shrine,,242,Gatecrash
3,Rootborn Defenses,,19,Return to Ravnica
4,Call of the Conclave,,146,Return to Ravnica
4,Selesnya Charm,,194,Return to Ravnica
2,Vitu-Ghazi Guildmage,,207,Return to Ravnica
1,Wayfaring Temple,,209,Return to Ravnica
1,Growing Ranks,,217,Return to Ravnica
1,Grove of the Guardian,,240,Return to Ravnica
2,Plains,,250,Return to Ravnica
2,Plains,,251,Return to Ravnica
2,Plains,,252,Return to Ravnica
1,Plains,,253,Return to Ravnica
1,Swamp,,260,Return to Ravnica
2,Forest,,271,Return to Ravnica
2,Forest,,272,Return to Ravnica
2,Forest,,273,Return to Ravnica
1,"Odric, Master Tactician",,23,Magic 2013
2,Rancor,,185,Magic 2013
4,Evolving Wilds,,224,Magic 2013
1,Champion of Lambholt,,171,Avacyn Restored
1,Increasing Devotion,,11,Dark Ascension
3,Lingering Souls,,12,Dark Ascension
2,Doomed Traveler,,11,Innistrad
1,Geist-Honored Monk,,17,Innistrad
4,Intangible Virtue,,19,Innistrad
1,Parallel Lives,,199,Innistrad

3,Druid's Deliverance,,123,Return to Ravnica
4,Centaur Healer,,148,Return to Ravnica
3,Sundering Growth,,223,Return to Ravnica
1,Rogue's Passage,,245,Return to Ravnica
4,Pacifism,,24,Magic 2013
