Count,Name,Foil,Card Number,Edition
2,Faithless Looting,,87,Dark Ascension
4,Forge Devil,,91,Dark Ascension
1,Hellrider,,93,Dark Ascension
3,Torch Fiend,,106,Dark Ascension
3,Haunted Fengraf,,157,Dark Ascension
4,Brimstone Volley,,132,Innistrad
1,Curse of Stalked Prey,,136,Innistrad
6,Mountain,,259,Innistrad
6,Mountain,,260,Innistrad
5,Mountain,,261,Innistrad
4,Goblin Arsonist,,136,Magic 2012
4,Goblin Fireslinger,,139,Magic 2012
4,Goblin Grenade,,140,Magic 2012
4,Artillerize,,79,New Phyrexia
2,Inkmoth Nexus,,145,Mirrodin Besieged
4,Goblin Gaveleer,,92,Scars of Mirrodin
3,Infiltration Lens,,167,Scars of Mirrodin

2,Act of Treason,,121,Magic 2012
1,Dismember,,57,New Phyrexia
2,Gut Shot,,86,New Phyrexia
3,Torpor Orb,,162,New Phyrexia
3,Into the Core,,67,Mirrodin Besieged
4,Arc Trail,,81,Scars of Mirrodin
