Count,Name,Foil,Card Number,Edition
1,Wakedancer,,79,Dark Ascension
4,Strangleroot Geist,,127,Dark Ascension
4,Young Wolf,,134,Dark Ascension
2,Evolving Wilds,,155,Dark Ascension
1,Grim Backwoods,,156,Dark Ascension
1,Bloodgift Demon,,89,Innistrad
1,Morkrut Banshee,,110,Innistrad
3,Swamp,,256,Innistrad
3,Swamp,,257,Innistrad
2,Swamp,,258,Innistrad
5,Forest,,262,Innistrad
5,Forest,,263,Innistrad
4,Forest,,264,Innistrad
2,Diabolic Tutor,,92,Magic 2012
3,Doom Blade,,95,Magic 2012
1,Acidic Slime,,161,Magic 2012
1,Stingerfling Spider,,197,Magic 2012
1,Solemn Simulacrum,,217,Magic 2012
2,Birthing Pod,,104,New Phyrexia
1,Brutalizer Exarch,,105,New Phyrexia
1,Hex Parasite,,137,New Phyrexia
1,Phyrexian Rager,,51,Mirrodin Besieged
1,Viridian Corrupter,,94,Mirrodin Besieged
4,Viridian Emissary,,95,Mirrodin Besieged
1,Mortarpod,,115,Mirrodin Besieged
3,Skinrender,,78,Scars of Mirrodin
1,Myr Battlesphere,,180,Scars of Mirrodin
1,Perilous Myr,,192,Scars of Mirrodin

1,Wakedancer,,79,Dark Ascension
4,Distress,,94,Magic 2012
1,Gravedigger,,99,Magic 2012
3,Autumn's Veil,,164,Magic 2012
1,Despise,,56,New Phyrexia
1,Dismember,,57,New Phyrexia
1,Entomber Exarch,,59,New Phyrexia
1,Beast Within,,103,New Phyrexia
1,Myr Sire,,116,Mirrodin Besieged
1,Acid Web Spider,,108,Scars of Mirrodin
