Count,Name,Foil,Card Number,Edition
4,Verdant Haven,,138,Gatecrash
2,Ground Assault,,168,Gatecrash
1,Gruul Ragebeast,,170,Gatecrash
3,Urban Evolution,,204,Gatecrash
4,Simic Guildgate,,246,Gatecrash
2,Island,,256,Return to Ravnica
2,Island,,257,Return to Ravnica
2,Island,,258,Return to Ravnica
1,Mountain,,267,Return to Ravnica
2,Forest,,270,Return to Ravnica
2,Forest,,271,Return to Ravnica
2,Forest,,272,Return to Ravnica
2,Forest,,273,Return to Ravnica
2,Forest,,274,Return to Ravnica
2,Fog Bank,,52,Magic 2013
1,Sphinx of Uthuun,,69,Magic 2013
2,Acidic Slime,,159,Magic 2013
4,Arbor Elf,,160,Magic 2013
4,Farseek,,170,Magic 2013
1,Thragtusk,,193,Magic 2013
1,"Yeva, Nature's Herald",,197,Magic 2013
2,Evolving Wilds,,224,Magic 2013
1,Deadeye Navigator,,47,Avacyn Restored
2,Mist Raven,,67,Avacyn Restored
3,Borderland Ranger,,169,Avacyn Restored
1,Wolfir Silverheart,,206,Avacyn Restored
1,Dungeon Geists,,36,Dark Ascension
3,Strangleroot Geist,,127,Dark Ascension
1,Bramblecrush,,172,Innistrad

2,Naturalize,,127,Gatecrash
2,Negate,,62,Magic 2013
4,Flames of the Firebrand,,132,Magic 2013
3,Rancor,,185,Magic 2013
4,Dissipate,,53,Innistrad
