Count,Name,Foil,Card Number,Edition
4,Bonds of Faith,,5,Innistrad
1,Champion of the Parish,,6,Innistrad
4,Doomed Traveler,,11,Innistrad
1,Elite Inquisitor,,13,Innistrad
4,Fiend Hunter,,15,Innistrad
2,Butcher's Cleaver,,217,Innistrad
2,Silver-Inlaid Dagger,,233,Innistrad
8,Plains,,250,Innistrad
8,Plains,,251,Innistrad
8,Plains,,252,Innistrad
2,Elite Vanguard,,15,Magic 2012
4,Gideon's Lawkeeper,,18,Magic 2012
2,Honor of the Pure,,23,Magic 2012
4,Oblivion Ring,,27,Magic 2012
4,Accorder Paladin,,1,Mirrodin Besieged
2,Mirran Crusader,,14,Mirrodin Besieged

1,Nevermore,,25,Innistrad
4,Celestial Purge,,11,Magic 2012
3,Suture Priest,,25,New Phyrexia
4,Leonin Relic-Warder,,10,Mirrodin Besieged
3,Nihil Spellbomb,,187,Scars of Mirrodin
