Count,Name,Foil,Card Number,Edition
1,Battlefield Thaumaturge,,31,Journey into Nyx
1,Harness by Force,,100,Journey into Nyx
2,Divination,,36,Born of the Gods
1,Fated Conflagration,,94,Born of the Gods
1,Oracle of Bones,,103,Born of the Gods
2,Searing Blood,,111,Born of the Gods
1,Anger of the Gods,,112,Theros
4,Lightning Strike,,127,Theros
3,Magma Jet,,128,Theros
4,Spellheart Chimera,,204,Theros
1,Steam Augury,,205,Theros
2,Island,,234,Theros
3,Island,,235,Theros
2,Island,,236,Theros
2,Island,,237,Theros
3,Mountain,,242,Theros
3,Mountain,,243,Theros
3,Mountain,,244,Theros
3,Mountain,,245,Theros
1,Chandra's Phoenix,,134,Magic 2014 Core Set
2,Flames of the Firebrand,,139,Magic 2014 Core Set
1,Ogre Battledriver,,148,Magic 2014 Core Set
3,Young Pyromancer,,163,Magic 2014 Core Set
1,Aetherling,,11,Dragon's Maze
2,Turn // Burn,,134,Dragon's Maze
3,Guttersnipe,,98,Return to Ravnica
1,Mizzium Mortars,,101,Return to Ravnica
4,Izzet Guildgate,,242,Return to Ravnica

3,Essence Scatter,,55,Magic 2014 Core Set
3,Negate,,64,Magic 2014 Core Set
2,Flames of the Firebrand,,139,Magic 2014 Core Set
2,Elixir of Immortality,,209,Magic 2014 Core Set
2,Dispel,,36,Return to Ravnica
3,Izzet Staticaster,,173,Return to Ravnica
