Count,Name,Foil,Card Number,Edition
4,Aether Adept,,41,Magic 2012
1,Lord of the Unreal,,62,Magic 2012
4,Mana Leak,,63,Magic 2012
3,Mind Control,,67,Magic 2012
4,Phantasmal Bear,,70,Magic 2012
3,Phantasmal Dragon,,71,Magic 2012
1,Phantasmal Image,,72,Magic 2012
1,Glacial Fortress,,227,Magic 2012
5,Island,,234,Magic 2012
5,Island,,235,Magic 2012
5,Island,,236,Magic 2012
4,Island,,237,Magic 2012
4,Porcelain Legionnaire,,19,New Phyrexia
4,Spined Thopter,,45,New Phyrexia
2,Grand Architect,,33,Scars of Mirrodin
1,Precursor Golem,,194,Scars of Mirrodin
1,Steel Hellkite,,205,Scars of Mirrodin
4,Glimmerpost,,227,Scars of Mirrodin
4,Preordain,,70,Magic 2011

2,Flashfreeze,,52,Magic 2012
2,Frost Breath,,54,Magic 2012
3,Master Thief,,64,Magic 2012
1,Mind Control,,67,Magic 2012
2,Negate,,69,Magic 2012
4,Neurok Commando,,28,Mirrodin Besieged
1,Stoic Rebuttal,,46,Scars of Mirrodin
