Count,Name,Foil,Card Number,Edition
3,Vampire Outcasts,,115,Magic 2012
6,Swamp,,238,Magic 2012
6,Swamp,,239,Magic 2012
6,Swamp,,240,Magic 2012
5,Swamp,,241,Magic 2012
4,Dismember,,57,New Phyrexia
1,Mimic Vat,,175,Scars of Mirrodin
4,Bloodthrone Vampire,,85,Magic 2011
4,Viscera Seer,,120,Magic 2011
4,Pawn of Ulamog,,122,Rise of the Eldrazi
1,Kalastria Highborn,,59,Worldwake
2,Bloodghast,,83,Zendikar
4,Gatekeeper of Malakir,,89,Zendikar
1,Vampire Hexmage,,114,Zendikar
4,Vampire Lacerator,,115,Zendikar
2,Vampire Nighthawk,,116,Zendikar
2,Blade of the Bloodchief,,196,Zendikar
1,Verdant Catacombs,,229,Zendikar

4,Distress,,94,Magic 2012
2,Go for the Throat,,43,Mirrodin Besieged
4,Skinrender,,78,Scars of Mirrodin
3,Vampire Hexmage,,114,Zendikar
2,Vampire Nighthawk,,116,Zendikar
