Count,Name,Foil,Card Number,Edition
3,Attended Knight,,5,Magic 2013
1,Acidic Slime,,159,Magic 2013
2,Arbor Elf,,160,Magic 2013
2,Elvish Visionary,,169,Magic 2013
1,Mwonvuli Beast Tracker,,177,Magic 2013
4,Roaring Primadox,,188,Magic 2013
1,Thragtusk,,193,Magic 2013
2,Plains,,230,Magic 2013
2,Plains,,231,Magic 2013
2,Plains,,232,Magic 2013
2,Plains,,233,Magic 2013
3,Forest,,246,Magic 2013
3,Forest,,247,Magic 2013
3,Forest,,248,Magic 2013
3,Forest,,249,Magic 2013
3,Borderland Ranger,,169,Avacyn Restored
1,Fiend Hunter,,15,Innistrad
1,Geist-Honored Monk,,17,Innistrad
4,Avacyn's Pilgrim,,170,Innistrad
1,Stonehorn Dignitary,,37,Magic 2012
4,Llanowar Elves,,182,Magic 2012
1,Stingerfling Spider,,197,Magic 2012
1,Blade Splicer,,4,New Phyrexia
1,Brutalizer Exarch,,105,New Phyrexia
1,Green Sun's Zenith,,81,Mirrodin Besieged
4,Lead the Stampede,,82,Mirrodin Besieged
1,Glimmerpoint Stag,,9,Scars of Mirrodin
1,Sunblast Angel,,22,Scars of Mirrodin
2,Razorverge Thicket,,228,Scars of Mirrodin

4,Oblivion Ring,,22,Magic 2013
3,War Priest of Thune,,39,Magic 2013
3,Cloudshift,,12,Avacyn Restored
2,Dismember,,57,New Phyrexia
3,Kemba's Skyguard,,13,Scars of Mirrodin
