Count,Name,Foil,Card Number,Edition
1,Firewing Phoenix,,131,Magic 2013
4,Evolving Wilds,,224,Magic 2013
2,Island,,234,Magic 2013
2,Island,,235,Magic 2013
2,Island,,236,Magic 2013
1,Island,,237,Magic 2013
1,Swamp,,238,Magic 2013
3,Mountain,,242,Magic 2013
2,Mountain,,243,Magic 2013
2,Mountain,,244,Magic 2013
2,Mountain,,245,Magic 2013
4,Fettergeist,,52,Avacyn Restored
3,Pillar of Flame,,149,Avacyn Restored
1,Desolate Lighthouse,,227,Avacyn Restored
4,Faithless Looting,,87,Dark Ascension
2,Armored Skaab,,43,Innistrad
3,Forbidden Alchemy,,55,Innistrad
1,Silent Departure,,75,Innistrad
4,Think Twice,,83,Innistrad
4,Burning Vengeance,,133,Innistrad
4,Desperate Ravings,,139,Innistrad
2,Geistflame,,144,Innistrad
1,Rolling Temblor,,161,Innistrad
1,Sulfur Falls,,248,Innistrad
1,Red Sun's Zenith,,74,Mirrodin Besieged
2,Slagstorm,,75,Mirrodin Besieged
1,Darkslick Shores,,226,Scars of Mirrodin

4,Screeching Skaab,,47,Dark Ascension
3,Secrets of the Dead,,48,Dark Ascension
4,Bloodcrazed Neonate,,131,Innistrad
2,Dismember,,57,New Phyrexia
2,Arc Trail,,81,Scars of Mirrodin
