Count,Name,Foil,Card Number,Edition
2,Flames of the Firebrand,,139,Magic 2014 Core Set
1,Ogre Battledriver,,148,Magic 2014 Core Set
3,Shock,,155,Magic 2014 Core Set
4,Elvish Mystic,,169,Magic 2014 Core Set
2,Kalonian Tusker,,182,Magic 2014 Core Set
2,Mountain,,243,Magic 2014 Core Set
2,Mountain,,244,Magic 2014 Core Set
2,Mountain,,245,Magic 2014 Core Set
3,Forest,,246,Magic 2014 Core Set
3,Forest,,247,Magic 2014 Core Set
3,Forest,,248,Magic 2014 Core Set
3,Forest,,249,Magic 2014 Core Set
1,Pyrewild Shaman,,36,Dragon's Maze
1,Armed // Dangerous,,122,Dragon's Maze
1,Wrecking Ogre,,112,Gatecrash
3,Slaughterhorn,,134,Gatecrash
1,Clan Defiance,,151,Gatecrash
4,Ghor-Clan Rampager,,167,Gatecrash
1,Gruul Charm,,169,Gatecrash
2,Skarrg Guildmage,,196,Gatecrash
2,Burning-Tree Emissary,,216,Gatecrash
1,Rubblebelt Raiders,,224,Gatecrash
4,Gruul Guildgate,,243,Gatecrash
1,Stomping Ground,,247,Gatecrash
1,Mizzium Mortars,,101,Return to Ravnica
1,Deadbridge Goliath,,120,Return to Ravnica
1,Wild Beastmaster,,139,Return to Ravnica
2,Dryad Militant,,214,Return to Ravnica
2,Rakdos Cackler,,220,Return to Ravnica
1,Rogue's Passage,,245,Return to Ravnica

2,Act of Treason,,125,Magic 2014 Core Set
2,Enlarge,,170,Magic 2014 Core Set
2,Naturalize,,186,Magic 2014 Core Set
1,Savage Summoning,,194,Magic 2014 Core Set
3,Skullcrack,,106,Gatecrash
2,Gruul Charm,,169,Gatecrash
3,Annihilating Fire,,85,Return to Ravnica
