Count,Name,Foil,Card Number,Edition
4,Corrupted Conscience,,22,Mirrodin Besieged
2,Phyrexian Vatmother,,52,Mirrodin Besieged
4,Plague Myr,,125,Mirrodin Besieged
2,Island,,148,Mirrodin Besieged
2,Island,,149,Mirrodin Besieged
2,Swamp,,150,Mirrodin Besieged
1,Swamp,,151,Mirrodin Besieged
1,Hand of the Praetors,,66,Scars of Mirrodin
2,Contagion Clasp,,144,Scars of Mirrodin
4,Corpse Cur,,147,Scars of Mirrodin
4,Necropede,,185,Scars of Mirrodin
3,Island,,234,Scars of Mirrodin
3,Island,,235,Scars of Mirrodin
2,Swamp,,238,Scars of Mirrodin
2,Swamp,,239,Scars of Mirrodin
4,Foresee,,54,Magic 2011
2,Mana Leak,,62,Magic 2011
3,Preordain,,70,Magic 2011
1,Doom Blade,,95,Magic 2011
2,Drowned Catacomb,,224,Magic 2011
2,Deprive,,59,Rise of the Eldrazi
2,Consuming Vapors,,101,Rise of the Eldrazi
2,Smother,,68,Worldwake
4,Jwar Isle Refuge,,215,Zendikar

2,Go for the Throat,,43,Mirrodin Besieged
3,Flashfreeze,,53,Magic 2011
4,Negate,,68,Magic 2011
3,Deathmark,,91,Magic 2011
1,Doom Blade,,95,Magic 2011
2,Smother,,68,Worldwake
