Count,Name,Foil,Card Number,Edition
4,Goblin Wardriver,,64,Mirrodin Besieged
4,Signal Pest,,131,Mirrodin Besieged
1,Contested War Zone,,144,Mirrodin Besieged
5,Mountain,,152,Mirrodin Besieged
5,Mountain,,153,Mirrodin Besieged
2,Galvanic Blast,,91,Scars of Mirrodin
4,Kuldotha Rebirth,,96,Scars of Mirrodin
1,Spikeshot Elder,,104,Scars of Mirrodin
2,Darksteel Axe,,149,Scars of Mirrodin
1,Iron Myr,,168,Scars of Mirrodin
4,Memnite,,174,Scars of Mirrodin
2,Panic Spellbomb,,191,Scars of Mirrodin
6,Mountain,,242,Scars of Mirrodin
5,Mountain,,243,Scars of Mirrodin
4,Lightning Bolt,,149,Magic 2011
4,Ornithopter,,211,Magic 2011
2,Devastating Summons,,140,Rise of the Eldrazi
2,Goblin Bushwhacker,,125,Zendikar
2,Goblin Guide,,126,Zendikar

2,Into the Core,,67,Mirrodin Besieged
2,Act of Treason,,121,Magic 2011
1,Leyline of Punishment,,148,Magic 2011
4,Searing Blaze,,90,Worldwake
4,Goblin Ruinblaster,,127,Zendikar
2,Unstable Footing,,153,Zendikar
