Count,Name,Foil,Card Number,Edition
4,Glistener Elf,,111,New Phyrexia
4,Mutagenic Growth,,116,New Phyrexia
6,Forest,,174,New Phyrexia
6,Forest,,175,New Phyrexia
1,Green Sun's Zenith,,81,Mirrodin Besieged
3,Rot Wolf,,90,Mirrodin Besieged
3,Viridian Corrupter,,94,Mirrodin Besieged
1,Inkmoth Nexus,,145,Mirrodin Besieged
5,Forest,,154,Mirrodin Besieged
5,Forest,,155,Mirrodin Besieged
1,Blight Mamba,,112,Scars of Mirrodin
4,Carrion Call,,115,Scars of Mirrodin
2,Putrefax,,126,Scars of Mirrodin
1,Contagion Clasp,,144,Scars of Mirrodin
2,Ichorclaw Myr,,166,Scars of Mirrodin
4,Overgrown Battlement,,203,Rise of the Eldrazi
4,Groundswell,,104,Worldwake
4,Primal Bellow,,176,Zendikar

1,"Melira, Sylvok Outcast",,115,New Phyrexia
1,Pistus Strike,,86,Mirrodin Besieged
2,Unnatural Predation,,93,Mirrodin Besieged
1,Viridian Corrupter,,94,Mirrodin Besieged
3,Contagion Clasp,,144,Scars of Mirrodin
3,Trigon of Infestation,,214,Scars of Mirrodin
2,Obstinate Baloth,,188,Magic 2011
2,Vines of Vastwood,,193,Zendikar
