Count,Name,Foil,Card Number,Edition
1,Apostle's Blessing,,2,New Phyrexia
4,Porcelain Legionnaire,,19,New Phyrexia
1,Puresteel Paladin,,20,New Phyrexia
1,Sickleslicer,,157,New Phyrexia
6,Plains,,166,New Phyrexia
5,Plains,,167,New Phyrexia
4,Leonin Relic-Warder,,10,Mirrodin Besieged
4,Leonin Skyhunter,,11,Mirrodin Besieged
1,Mirran Crusader,,14,Mirrodin Besieged
1,Bonehoard,,100,Mirrodin Besieged
4,Flayer Husk,,107,Mirrodin Besieged
1,Skinwing,,133,Mirrodin Besieged
5,Plains,,146,Mirrodin Besieged
5,Plains,,147,Mirrodin Besieged
1,"Kemba, Kha Regent",,12,Scars of Mirrodin
1,Darksteel Axe,,149,Scars of Mirrodin
4,Elite Vanguard,,13,Magic 2011
1,Sword of Vengeance,,216,Magic 2011
2,Stoneforge Mystic,,20,Worldwake
2,Dread Statuary,,135,Worldwake
4,Journey to Nowhere,,14,Zendikar
2,Kor Duelist,,19,Zendikar

1,Apostle's Blessing,,2,New Phyrexia
2,Arrest,,2,Scars of Mirrodin
4,Revoke Existence,,18,Scars of Mirrodin
3,Celestial Purge,,9,Magic 2011
4,Kor Firewalker,,11,Worldwake
1,Kor Duelist,,19,Zendikar
