Count,Name,Foil,Card Number,Edition
2,Daggerdrome Imp,,60,Return to Ravnica
1,Ultimate Price,,82,Return to Ravnica
1,Deadbridge Goliath,,120,Return to Ravnica
4,Drudge Beetle,,122,Return to Ravnica
2,Dreg Mangler,,158,Return to Ravnica
2,Golgari Charm,,164,Return to Ravnica
3,Korozda Guildmage,,176,Return to Ravnica
2,Slitherhead,,222,Return to Ravnica
3,Golgari Guildgate,,239,Return to Ravnica
2,Swamp,,260,Return to Ravnica
2,Swamp,,261,Return to Ravnica
2,Swamp,,262,Return to Ravnica
1,Swamp,,263,Return to Ravnica
2,Forest,,270,Return to Ravnica
2,Forest,,271,Return to Ravnica
2,Forest,,272,Return to Ravnica
2,Forest,,273,Return to Ravnica
1,Disciple of Bolas,,88,Magic 2013
4,Vampire Nighthawk,,112,Magic 2013
4,Evolving Wilds,,224,Magic 2013
1,Druid's Familiar,,175,Avacyn Restored
2,Trusted Forcemage,,199,Avacyn Restored
1,Ulvenwald Tracker,,200,Avacyn Restored
1,Wolfir Silverheart,,206,Avacyn Restored
4,Tragic Slip,,76,Dark Ascension
3,Dawntreader Elk,,111,Dark Ascension
1,Grim Backwoods,,156,Dark Ascension
2,Victim of Night,,124,Innistrad
1,Woodland Cemetery,,249,Innistrad

2,Duress,,90,Magic 2013
3,Vile Rebirth,,115,Magic 2013
1,Thragtusk,,193,Magic 2013
4,Strangleroot Geist,,127,Dark Ascension
3,Bramblecrush,,172,Innistrad
2,Ghost Quarter,,240,Innistrad
