Count,Name,Foil,Card Number,Edition
1,Mizzium Mortars,,101,Return to Ravnica
2,Hellhole Flailer,,167,Return to Ravnica
1,Rakdos Charm,,184,Return to Ravnica
3,Rix Maadi Guildmage,,192,Return to Ravnica
4,Rakdos Cackler,,220,Return to Ravnica
4,Rakdos Shred-Freak,,221,Return to Ravnica
2,Rakdos Guildgate,,244,Return to Ravnica
2,Swamp,,261,Return to Ravnica
2,Swamp,,262,Return to Ravnica
2,Swamp,,263,Return to Ravnica
2,Swamp,,264,Return to Ravnica
3,Mountain,,265,Return to Ravnica
3,Mountain,,266,Return to Ravnica
3,Mountain,,267,Return to Ravnica
2,Mountain,,268,Return to Ravnica
2,Mountain,,269,Return to Ravnica
3,Knight of Infamy,,96,Magic 2013
4,Searing Spear,,147,Magic 2013
1,Dragonskull Summit,,222,Magic 2013
2,Lightning Mauler,,144,Avacyn Restored
4,Pillar of Flame,,149,Avacyn Restored
2,Stonewright,,157,Avacyn Restored
2,Brimstone Volley,,132,Innistrad
1,Devil's Play,,140,Innistrad
1,Nightbird's Clutches,,154,Innistrad
2,Stromkirk Noble,,164,Innistrad

2,Ultimate Price,,82,Return to Ravnica
2,Electrickery,,93,Return to Ravnica
3,Duress,,90,Magic 2013
2,Murder,,101,Magic 2013
1,Vexing Devil,,164,Avacyn Restored
2,Faithless Looting,,87,Dark Ascension
1,Grafdigger's Cage,,149,Dark Ascension
2,Brimstone Volley,,132,Innistrad
