Count,Name,Foil,Card Number,Edition
2,Dauntless Onslaught,,6,Theros
1,Fabled Hero,,12,Theros
2,Gods Willing,,16,Theros
3,Hopeful Eidolon,,19,Theros
1,Ordeal of Heliod,,25,Theros
1,Soldier of the Pantheon,,32,Theros
2,Ordeal of Thassa,,58,Theros
3,Battlewise Hoplite,,189,Theros
3,Plains,,230,Theros
3,Plains,,231,Theros
4,Plains,,232,Theros
4,Plains,,233,Theros
1,Island,,234,Theros
2,Island,,235,Theros
1,Island,,236,Theros
1,Island,,237,Theros
2,Banisher Priest,,7,Magic 2014 Core Set
2,Imposing Sovereign,,22,Magic 2014 Core Set
2,Pacifism,,25,Magic 2014 Core Set
2,Ascended Lawmage,,53,Dragon's Maze
1,Lavinia of the Tenth,,80,Dragon's Maze
1,Frontline Medic,,12,Gatecrash
1,Precinct Captain,,17,Return to Ravnica
2,Detention Sphere,,155,Return to Ravnica
3,Lyev Skyknight,,179,Return to Ravnica
1,New Prahv Guildmage,,181,Return to Ravnica
1,Skymark Roc,,196,Return to Ravnica
3,Dryad Militant,,214,Return to Ravnica
4,Azorius Guildgate,,237,Return to Ravnica
1,Hallowed Fountain,,241,Return to Ravnica

2,Glare of Heresy,,15,Theros
2,Gainsay,,49,Theros
2,Triton Tactics,,71,Theros
3,Solemn Offering,,36,Magic 2014 Core Set
2,Negate,,64,Magic 2014 Core Set
2,Gift of Orzhova,,219,Gatecrash
2,Arrest,,3,Return to Ravnica
