Count,Name,Foil,Card Number,Edition
1,Aether Gale,,7,Explorers of Ixalan
1,Concentrate,,9,Explorers of Ixalan
1,Merfolk Sovereign,,10,Explorers of Ixalan
1,Threads of Disloyalty,,11,Explorers of Ixalan
1,Time Warp,,12,Explorers of Ixalan
2,Unsummon,,13,Explorers of Ixalan
1,Vow of Flight,,14,Explorers of Ixalan
1,Giant Growth,,32,Explorers of Ixalan
2,Prey Upon,,34,Explorers of Ixalan
2,Rancor,,35,Explorers of Ixalan
1,Soul of the Harvest,,36,Explorers of Ixalan
2,Jungle Barrier,,38,Explorers of Ixalan
2,Prismatic Lens,,43,Explorers of Ixalan
2,Air Elemental,,45,Ixalan
1,River Sneak,,70,Ixalan
2,Shaper Apprentice,,75,Ixalan
1,Tempest Caller,,86,Ixalan
1,Watertrap Weaver,,87,Ixalan
2,Deeproot Warrior,,186,Ixalan
2,Kumena's Speaker,,196,Ixalan
2,Vineshaper Mystic,,214,Ixalan
1,Waker of the Wilds,,215,Ixalan
2,Shapers of Nature,,228,Ixalan
2,Unknown Shores,,259,Ixalan
6,Island,,266,Ixalan
6,Island,,267,Ixalan
6,Forest,,277,Ixalan
6,Forest,,278,Ixalan
