Count,Name,Foil,Card Number,Edition
1,Path to Exile,,3,Explorers of Ixalan
1,Aggravated Assault,,25,Explorers of Ixalan
1,Disaster Radius,,26,Explorers of Ixalan
2,Borderland Ranger,,31,Explorers of Ixalan
1,Hunter's Prowess,,33,Explorers of Ixalan
1,Prey Upon,,34,Explorers of Ixalan
1,Vow of Wildness,,37,Explorers of Ixalan
1,Lightning Helix,,39,Explorers of Ixalan
2,Prismatic Lens,,43,Explorers of Ixalan
1,Quicksilver Amulet,,44,Explorers of Ixalan
4,Jungle Shrine,,46,Explorers of Ixalan
1,Bellowing Aegisaur,,4,Ixalan
2,Imperial Aerosaur,,14,Ixalan
2,Raptor Companion,,31,Ixalan
2,Sheltering Light,,35,Ixalan
1,Burning Sun's Avatar,,135,Ixalan
1,Charging Monstrosaur,,138,Ixalan
1,Dinosaur Stampede,,140,Ixalan
1,Frenzied Raptor,,146,Ixalan
2,Nest Robber,,152,Ixalan
1,Raptor Hatchling,,155,Ixalan
1,Ancient Brontodon,,175,Ixalan
2,Drover of the Mighty,,187,Ixalan
1,Ravenous Daggertooth,,202,Ixalan
1,Savage Stomp,,205,Ixalan
1,Thundering Spineback,,210,Ixalan
1,Raging Swordtooth,,226,Ixalan
1,Regisaur Alpha,,227,Ixalan
3,Plains,,262,Ixalan
3,Plains,,263,Ixalan
4,Mountain,,274,Ixalan
3,Mountain,,275,Ixalan
5,Forest,,276,Ixalan
4,Forest,,279,Ixalan
