Count,Name,Foil,Card Number,Edition
1,Sphinx of Enlightenment,foil,2,Game Night 2019
2,Aven Wind Mage,,16,Game Night 2019
1,Claustrophobia,,17,Game Night 2019
2,Cryptic Serpent,,18,Game Night 2019
2,Decision Paralysis,,19,Game Night 2019
1,Dramatic Reversal,,20,Game Night 2019
1,Engulf the Shore,,21,Game Night 2019
2,Galestrike,,22,Game Night 2019
1,Rise from the Tides,,23,Game Night 2019
1,River's Rebuke,,24,Game Night 2019
2,Salvager of Secrets,,25,Game Night 2019
1,Howling Golem,,54,Game Night 2019
1,Agent of Treachery,,43,Core Set 2020
2,Air Elemental,,44,Core Set 2020
1,Brineborn Cutthroat,,50,Core Set 2020
1,Captivating Gyre,,51,Core Set 2020
2,Cloudkin Seer,,54,Core Set 2020
1,Dungeon Geists,,57,Core Set 2020
2,Frost Lynx,,62,Core Set 2020
2,Moat Piranhas,,67,Core Set 2020
1,Unsummon,,78,Core Set 2020
2,Warden of Evos Isle,,79,Core Set 2020
2,Winged Words,,80,Core Set 2020
7,Island,,265,Core Set 2020
6,Island,,266,Core Set 2020
7,Island,,57,Game Night 2019
6,Island,,58,Game Night 2019
1,Soldier // Zombie,,1,Extras: Game Night 2019
2,Zombie // Dragon,,3,Extras: Game Night 2019
