Count,Name,Foil,Card Number,Edition
1,"Imaryll, Elfhame Elite",foil,5,Game Night: Free-for-All
1,Beast Whisperer,,89,Game Night: Free-for-All
1,Broken Wings,,90,Game Night: Free-for-All
2,Dwynen's Elite,,91,Game Night: Free-for-All
1,Elven Ambush,,92,Game Night: Free-for-All
1,Elvish Archdruid,,93,Game Night: Free-for-All
2,Elvish Rejuvenator,,94,Game Night: Free-for-All
1,Elvish Skysweeper,,95,Game Night: Free-for-All
3,Elvish Visionary,,96,Game Night: Free-for-All
1,End-Raze Forerunners,,97,Game Night: Free-for-All
1,Immaculate Magistrate,,98,Game Night: Free-for-All
2,Invigorate,,99,Game Night: Free-for-All
1,Joraga Visionary,,100,Game Night: Free-for-All
3,Llanowar Elves,,101,Game Night: Free-for-All
2,Llanowar Tribe,,102,Game Night: Free-for-All
1,Overrun,,103,Game Night: Free-for-All
1,Rabid Bite,,104,Game Night: Free-for-All
1,Ram Through,,105,Game Night: Free-for-All
1,Regrowth,,106,Game Night: Free-for-All
2,Sylvan Messenger,,107,Game Night: Free-for-All
1,Taunting Elf,,108,Game Night: Free-for-All
1,Thorn Lieutenant,,109,Game Night: Free-for-All
2,Thornweald Archer,,110,Game Night: Free-for-All
1,Vow of Wildness,,111,Game Night: Free-for-All
1,Wirewood Pride,,112,Game Night: Free-for-All
1,Howling Golem,,117,Game Night: Free-for-All
8,Forest,,134,Game Night: Free-for-All
8,Forest,,135,Game Night: Free-for-All
8,Forest,,136,Game Night: Free-for-All
1,Soldier // Elf Warrior,,4,Extras: Game Night: Free-for-All
1,Bird Illusion // Demon,,5,Extras: Game Night: Free-for-All
1,Dragon // Elf Warrior,,8,Extras: Game Night: Free-for-All
